Key,Burmese
Administrators and Editors always have edit access,အုပ်ချုပ်သူများနှင့် တည်းဖြတ်သူများသည် အမြဲတမ်း တည်းဖြတ်ခွင့် ရှိသည်။
Admins,အုပ်ချုပ်သူများ
Advanced colors,အဆင့်မြင့်အရောင်များ
Advanced ECharts overrides,အဆင့်မြင့် ECharts အစားထိုးခြင်းများ
ALL,အားလုံး
All,အားလုံး
"All changes will be lost, are you sure you want to proceed?",အပြောင်းအလဲအားလုံးကို ဆုံးရှုံးပါမည်၊ ရှေ့ဆက်လိုသည်မှာ သေချာပါသလား။
All data,ဒေတာအားလုံး
All editing options will be disabled.,တည်းဖြတ်ခြင်းရွေးချယ်စရာများအားလုံးကို ပိတ်ထားမည်။
All of the paragraphs will be deleted,အပိုဒ်အားလုံး ဖျက်ပစ်မည်။
All of the previously created paragraphs will be deleted and recreated after the process.,ယခင်ဖန်တီးထားသော အပိုဒ်အားလုံးကို လုပ်ငန်းစဉ်ပြီးဆုံးပြီးနောက် ဖျက်ပြီး ပြန်လည်ဖန်တီးမည်။
Allow captcha bypass,Captcha ကျော်ခွင့်ပြုပါ
Allow public embedding without login,ဝင်ရောက်ခြင်းမလိုဘဲ အများပြည်သူထည့်သွင်းခွင့်ပြုပါ။
Already exists,ယခင်ကတည်းက ရှိပြီးသား
Already the same value.,ယခင်ကတည်းက တူညီသော တန်ဖိုးဖြစ်သည်။
Amount,ပမာဏ
An admin needs to add relationship types before you can create a relationship.,ဆက်နွယ်မှုတစ်ခုကို ဖန်တီးနိုင်ရန် မတိုင်မီ အုပ်ချုပ်သူသည် ဆက်နွယ်မှုအမျိုးအစားများကို ထည့်သွင်းရမည်။
An error has occured while deleting a language:,ဘာသာစကား ဖျက်နေစဉ် အမှားတစ်ခု ဖြစ်ပေါ်ခဲ့သည် -
An error has occured while installing languages:,ဘာသာစကားများ တပ်ဆင်စဉ် အမှားတစ်ခု ဖြစ်ပေါ်ခဲ့သည် -
An error has occurred,အမှားတစ်ခု ဖြစ်ပေါ်ခဲ့သည်။
An error has occurred during data export,ဒေတာထုတ်ပို့စဉ်တွင် အမှားတစ်ခု ဖြစ်ပေါ်ခဲ့သည်။
An error has occurred while installing languages:,ဘာသာစကားများ တပ်ဆင်နေစဉ် အမှားတစ်ခု ဖြစ်ပေါ်ခဲ့သည် -
An error has occurred while uninstalling a language:,ဘာသာစကားတစ်ခုကို ဖျက်ထုတ်စဉ်တွင် အမှားတစ်ခု ဖြစ်ပေါ်ခဲ့သည် -
An error occurred,အမှားတစ်ခု ဖြစ်ပေါ်ခဲ့သည်။
Analytics,ခွဲခြမ်းစိတ်ဖြာခြင်း
Analytics description,သင့်စုဆောင်းမှုလည်ပတ်မှုဆိုင်ရာ ခွဲခြမ်းစိတ်ဖြာချက်များကို လိုက်လံကြည့်ရှုလိုပါက၊ Uwazi သည် Google Analytics နှင့် Matomo နှစ်ခုလုံးကို ထောက်ပံ့ပေးပါသည်။
AND OR NOT,AND OR NOT
Any,မည်သည့်
Any entity,မည်သည့်အဖွဲ့အစည်းမဆို
any single character,မည်သည့် တစ်လုံးတည်းသော အက္ခရာမဆို
Any type,မည်သည့်အမျိုးအစားမဆို
Anyone can see this entity,မည်သူမဆို ဤအရာကို မြင်နိုင်သည်။
Appearance,ပုံသဏ္ဍာန်
Apply,အသုံးချပါ
Are you sure you want to continue?,ဆက်လက်လုပ်ဆောင်ချင်ပါသလား?
Are you sure you want to delete,ဖျက်ရန် သေချာပါသလား
"Are you sure you want to delete the selected visualizations? This action cannot be
              undone.",ရွေးထားသော မြင်ကွင်းများကို ဖျက်လိုပါသလား? ဤ လုပ်ဆောင်ချက်ကို ပြန်လည် မလုပ်နိုင်ပါ။
Are you sure you want to delete this attachment?,ဤပူးတွဲဖိုင်ကို ဖျက်လိုပါသလား?
Are you sure you want to delete this connection?,ဤချိတ်ဆက်မှုကို ဖျက်လိုပါသလား?
Are you sure you want to delete this entity?,ဤအရာကို ဖျက်ရန် သေချာပါသလား?
Are you sure you want to delete this file?,ဤဖိုင်ကို ဖျက်လိုပါသလား?
Are you sure you want to delete this item?,ဤအရာကို ဖျက်လိုပါသလား?
Are you sure you want to delete this relationship? This action cannot be undone.,ဤဆက်နွယ်မှုကို ဖျက်လိုပါသလား? ဤလုပ်ဆောင်ချက်ကို ပြန်မလုပ်နိုင်ပါ။
Are you sure you want to delete this visualization? This action cannot be undone.,ဤမြင်ကွင်းကို ဖျက်လိုပါသလား? ဤလုပ်ဆောင်ချက်ကို ပြန်မလုပ်နိုင်ပါ။
Are you sure?,သေချာပါသလား?
Ask Bert,Bert ကိုမေးပါ
Attachment,ပူးတွဲစာရွက်
Attachment deleted,ပူးတွဲဖိုင် ဖျက်သွားပါပြီ။
Attachment renamed,ပူးတွဲဖိုင် အမည်ပြောင်းထားသည်။
Attachment uploaded,ပူးတွဲဖိုင် တင်ပြီးပါပြီ။
Attachments,တွဲချိတ်မှုများ
Authentication code,စစ်မှန်ကြောင်း အတည်ပြုကုဒ်
Auto,Auto
auto created,အလိုအလျောက် ဖန်တီးထားသည်
Auto-accept suggestions,အကြံပြုချက်များကို အလိုအလျောက် လက်ခံပါ
auto-created,အော်တို ဖန်တီးထားသော
Auto-translate,Auto-translate
Automatic Table of Contents,အလိုအလျောက် မာတိကာ
Automatically generated,အလိုအလျောက် ထုတ်လုပ်ထားသည်
Available default translation,ရရှိနိုင်သည့် မူလဘာသာပြန်ဆိုချက်
Back,နောက်သို့
Back to,ပြန်သွားရန်
Back to details,အသေးစိတ်သို့ ပြန်သွား
Back to search,ရှာဖွေမှုသို့ ပြန်သွားရန်
Bad Request,မမှန်ကန်သော တောင်းဆိုချက်
Basic,အခြေခံ
Bert,Bert
Bidirectional,နှစ်ဖက်ဆိုင်သော
Body,စာကိုယ်
boolean,ဘူလီယန်
Browse files to upload,အပ်လုဒ်လုပ်ရန် ဖိုင်များကို ရှာဖွေပါ
"by ids, methods, keywords, etc.",identifier များ၊ နည်းလမ်းများ၊ သော့ချက်စာလုံးများ စသည်ဖြင့်
By logging in you accept the essential session cookie required to stay signed in.,ဝင်ရောက်ခြင်းဖြင့် သင်သည် လော့ဂ်အင်အခြေအနေကို ထိန်းသိမ်းရန် လိုအပ်သော အရေးကြီးသော စက်ဆက်ကွတ်ကီးကို သဘောတူလက်ခံပါသည်။
Can edit,တည်းဖြတ်နိုင်သည်
Can see,မြင်နိုင်သည်
Can view,ကြည့်နိုင်သည်
Cancel,ပယ်ဖျက်ရန်
cancel csv import,တင်သွင်းလုပ်ငန်းစဉ်ကို ဖျက်သိမ်းပါ။ ဤသည်က အဖွဲ့အစည်းအသစ်များ ဖန်တီးခြင်းကို ရပ်တန့်စေပါမည်။ ယခင်က ဖန်တီးပြီးသား အဖွဲ့အစည်းများတွင် သက်ရောက်မှု မရှိပါ။
Canceling,ဖျက်ခြင်း
Canceling...,ဖျက်နေသည်...
Cancelled,ဖျက်သိမ်းပြီး
Cannot connect to server,ဆာဗာနှင့် ချိတ်ဆက်၍ မရပါ။
Cannot find extractor,ထုတ်ယူသူကို မတွေ့နိုင်ပါ။
Captcha,ကက်ပ်ချာ
Captcha bypass,"ဤရွေးချယ်မှုကို ဖွင့်ထားခြင်းဖြင့် CAPTCHA ဖြည့်ရန် မလိုဘဲ အသုံးပြုသူများအား သင့်အဖြူစာရင်းဝင် ပုံစံများသို့ တင်သွင်းခွင့် ပြုနိုင်ပါသည်။
ဖောင်သည် နောက်ဆုံးအသုံးပြုသူများအား captcha ကို ဆက်လက် ပြသနေမည်ဖြစ်သော်လည်း၊ ""Bypass-Captcha: true"" ဟူသော header ကို ပေးပို့ပါက API end-point သည် CAPTCHA အတည်ပြုချက် မပါဘဲ တင်သွင်းမှုများကို ခွင့်ပြုပါမည်။ ဤရွေးချယ်မှုသည် လုံခြုံမှု မရှိသဖြင့် သင့် instance ကို spam သို့မဟုတ် အန္တရာယ်ရှိသော အကြောင်းအရာများဖြင့် ဖြိုခွင်းရန် အသုံးချနိုင်ပါသည်။"
Cards,ကတ်များ
Cards view,ကတ်မြင်ကွင်း
Category,အမျိုးအစား
Change,ပြောင်းပါ
Change Password,စကားဝှက်ပြောင်းပါ
Changes in the thesaurus will impact all the entities using these values.,အဓိပ္ပာယ်တူစာရင်းတွင် ပြုလုပ်သော ပြောင်းလဲမှုများသည် ဤတန်ဖိုးများကို အသုံးပြုနေသော အဖွဲ့အစည်းအားလုံးကို ထိခိုက်သက်ရောက်စေမည်။
Changing the type will erase all relationships to this entity.,အမျိုးအစားကို ပြောင်းလဲခြင်းဖြင့် ဤအရာနှင့် ဆက်စပ်နေသည့် ဆက်နွယ်မှုအားလုံးကို ဖျက်ပစ်မည်။
Character support description,"ဤရွေးချယ်မှုသည် သင့်စုစည်းမှု၏ မူလဘာသာစကားများအဖြစ် လက်တင်မဟုတ်သော ဘာသာစကားများအတွက် ထောက်ပံ့မှုကို မြှင့်တင်ပေးပါသည်။
ဤရွေးချယ်မှုကို ရွေးချယ်ခြင်းဖြင့် ပုံစံ ပိုင်ဆိုင်မှုများ အားလုံးကို အလိုအလျောက် အပ်ဒိတ်လုပ်ပါမည်။ ဤလုပ်ငန်းစဉ်သည် မိနစ်အနည်းငယ် ကြာနိုင်ပါသည်။ ဤရွေးချယ်မှုကို ရွေးချယ်ခြင်းသည် စာကြည့်တိုက် စစ်ထုတ်မှုများ၏ URL များကို ပြောင်းလဲစေနိုင်ပါသည်။ ထို့ကြောင့် ထို URL များကို အသုံးပြုထားသည့် မီနူးများ သို့မဟုတ် လင့်ခ်များ ရှိပါက ၎င်းတို့သည် အလုပ်မလုပ်တော့နိုင်ပါ။
သင်သည် ၎င်းတို့ကို ကိုယ်တိုင် အပ်ဒိတ်လုပ်ရန် လိုအပ်ပါမည်။ ဤရွေးချယ်မှုကို ရွေးချယ်ပြီးနောက် ရှေးရိုးပိုင်ဆိုင်မှု အမည်ပေးစနစ်သို့ ပြန်လည်အသုံးပြု၍ မရတော့ပါ။ သင့်ပုံစံ ပိုင်ဆိုင်မှု အမည်များတွင် ပြဿနာ မရှိပါက ၎င်းကို ရွေးချယ်ခြင်း မပြုရန် အကြံပြုပါသည်။"
Character support process warning,ဤလုပ်ငန်းစဉ်သည် မိနစ်အနည်းငယ်ကြာနိုင်ပြီး library filters များ၏ URL များကို ပြောင်းလဲနိုင်ပါသည်။ ထို URL များကို အသုံးပြုထားသော မီနူးများ သို့မဟုတ် လင့်ခ်များ ရှိပါက အပ်ဒိတ်ပြီးနောက် မလည်ပတ်တော့နိုင်ပါသည်။ ထို URL များကို ကိုယ်တိုင် ပြန်လည်အပ်ဒိတ်လုပ်ရန် လိုအပ်ပါသည်။
Character support revert warning,ဤရွေးချယ်မှုကိုရွေးချယ်ပြီးနောက် သင်သည် အဟောင်းပိုင်ဆိုင်မှုအမည်ပေးနည်းသို့ ပြန်လည်အသုံးပြု၍ မရတော့ပါ။ သင့်ပုံစံပိုင်ဆိုင်မှုအမည်များတွင် ပြဿနာမရှိပါက ဤရွေးချယ်မှုကို မရွေးထားဘဲ ထားရန် ကျွန်ုပ်တို့ အကြံပြုပါသည်။
Chart,ဂရပ်ဇယား
Chart options,ဂရပ်ဇယားရွေးချယ်စရာများ
Chart theme,ဂရပ်ဇယားအသွင်အပြင်
Chart type,ဂရပ်ဇယားအမျိုးအစား
Chart type uses a custom view,ဂရပ်ဇယားအမျိုးအစားသည် စိတ်ကြိုက်မြင်ကွင်းကို အသုံးပြုသည်။
Check to make this instance public (non-logged in users can see public documents and entities),ဤအင်စတန့်ကို အများပြည်သူကြည့်ရှုနိုင်အောင် သတ်မှတ်ထားသည်ကို စစ်ဆေးပါ (ဝင်ရောက်ထားခြင်းမရှိသော အသုံးပြုသူများသည် အများပြည်သူစာရွက်စာတမ်းများနှင့် အဖွဲ့အစည်းများကို ကြည့်ရှုနိုင်ပါသည်)
Checking which images fit the requirements,လိုအပ်ချက်များနှင့် ကိုက်ညီသည့် ပုံများကို စစ်ဆေးနေပါသည်။
Choose,ရွေးပါ
Choose relation type,ဆက်နွယ်မှုအမျိုးအစားကိုရွေးပါ
Choose which data to use for training,လေ့ကျင့်ရန် အသုံးပြုမည့် ဒေတာကို ရွေးပါ။
Chrome header,ခရိုမ် ခေါင်းစီး
Clear,ရှင်းပါ
Clear all,အားလုံး ရှင်းပါ
Clear All,အားလုံး ရှင်းပါ
Clear all filters,စစ်ထုတ်မှုအားလုံး ရှင်းပါ
Clear coordinates,ကိုဩဒိနိတ်များကို ရှင်းလင်းရန်
Clear Filters,စစ်ထုတ်မှုများကို ရှင်းလင်းရန်
Clear PDF selection,ရွေးချယ်ထားသော PDF ရှင်းပါ
Clear search,ရှာဖွေမှုကို ရှင်းပါ
Click,နှိပ်ပါ
Click to fill,ဖြည့်ရန် နှိပ်ပါ
Click to select an image,ပုံတစ်ပုံရွေးရန် နှိပ်ပါ
Click to select audio or video,အသံ သို့မဟုတ် ဗီဒီယိုကို ရွေးရန် နှိပ်ပါ
Click to select files,ဖိုင်များရွေးရန် နှိပ်ပါ
Close,ပိတ်ရန်
Code,ကုဒ်
Collaborator,ပူးပေါင်းဆောင်ရွက်သူ
Collaborators,ပူးပေါင်းဆောင်ရွက်သူများ
Collapse all,အားလုံးကို ပိတ်
Collapse All,အားလုံးကို ပိတ်
Collection,စုစည်းမှု
Collection Name,စုစည်းမှုအမည်
Colors,အရောင်များ
Colors come from the server data layer. Preview shows assigned bucket colors when available.,အရောင်များသည် ဆာဗာဒေတာအလွှာမှ ရရှိသည်။ Preview သည် ရနိုင်ပါက သတ်မှတ်ထားသော bucket အရောင်များကို ပြသသည်။
Columns,ကော်လံများ
combine or exclude terms,စကားလုံးများကို ပေါင်းစပ် သို့မဟုတ် ထုတ်ပယ်
Comfortable,သက်တောင့်သက်သာ
Common sources,အထွေထွေ ရင်းမြစ်များ
Compact,သိပ်သည်းသော
Completed,ပြီးစီးပြီးပါပြီ
Completed with errors,အမှားများပါဝင်ပြီး ပြီးစီးထားသည်။
Config,ပြင်ဆင်ချက်များ
Configuration,ပြင်ဆင်မှု
Configure filters,စစ်ထုတ်မှုများကို ချိန်ညှိပါ
Configure templates,ပုံစံများကို ပြင်ဆင်ပါ။
Confirm,အတည်ပြုရန်
CONFIRM,အတည်ပြုရန်
Confirm action,လုပ်ဆောင်ချက်အတည်ပြုပါ
Confirm delete connection,ချိတ်ဆက်မှု ဖျက်ခြင်းကို အတည်ပြုပါ။
Confirm delete multiple items,ရွေးချယ်ထားသော အရာအားလုံးကို ဖျက်ရန် သေချာပါသလား?
Confirm deletion,ဖျက်ရန် အတည်ပြုပါ
Confirm deletion of,ဖျက်ပစ်ခြင်းကို အတည်ပြုပါ
Confirm deletion of entity,အဖွဲ့အစည်းကို ဖျက်ပစ်ခြင်းကို အတည်ပြုပါ။
Confirm deletion of file,ဖိုင်ကို ဖျက်ခြင်းကို အတည်ပြုပါ။
Confirm new password,စကားဝှက်အသစ်ကို အတည်ပြုပါ
Confirm your password,သင့်စကားဝှက်ကိုအတည်ပြုပါ
Connect to a paragraph,စာပိုဒ်နှင့် ချိတ်ဆက်ရန်
Connect to an entity,အဖွဲ့အစည်းတစ်ခုနှင့် ချိတ်ဆက်ပါ။
Connect to entity,အဖွဲ့အစည်းနှင့် ချိတ်ဆက်ပါ။
Connected entities,ချိတ်ဆက်ထားသော အဖွဲ့အစည်းများ
Connected to server,ဆာဗာနှင့် ချိတ်ဆက်ထားသည်
Connection type,ချိတ်ဆက်မှု အမျိုးအစား
Contact email description,ဒီမှာ သင်သည် ဆက်သွယ်ရန် အီးမေးလ်နှင့် Uwazi က အသုံးပြုသူအား အသိပေးစာ ပို့သည့်အခါ ပြသမည့် အီးမေးလ်ကို စိတ်ကြိုက် သတ်မှတ်နိုင်ပါသည်။
Contact Form,ဆက်သွယ်ရန် ဖောင်
Contact form email,ဆက်သွယ်ရန် ဖောင် အီးမေးလ်
Contains,ပါဝင်သည်
Content translations,အကြောင်းအရာ ဘာသာပြန်ချက်များ
Context,အကြောင်းအရာ
Continue,ဆက်လက်ပါ
Conversion failed,ပြောင်းလဲခြင်း မအောင်မြင်ပါ
Cookie preferences,ကွတ်ကီး ရွေးချယ်မှုများ
Copied,ကူးယူပြီးပါပြီ
Copied to clipboard,ကလစ်ဘုတ်သို့ မိတ္တူကူးထားသည်။
Copy,ကူးယူ
Copy From,ဤမှ ကူးပါ
Copy from,ဤမှ ကူးပါ
Copy from this entity,ဤအဖွဲ့အစည်းမှ ကူးယူပါ
Copy from...,မှ ကူးယူပါ…
Copy Highlighted,အရောင်ခြယ်ထားသည်ကို ကူးပါ
Copy link,လင့်ခ်ကို ကူးပါ
Copy properties to this entity from,ဤဖြည့်သွင်းချက်သို့ ထူးခြားချက်များကို ဤမှ ကူးပါ
Copy to clipboard,ကလစ်ဘုတ်သို့ ကူးယူရန်
Could not add media. Please try again.,မီဒီယာထည့်သွင်း၍ မရပါ။ ထပ်မံကြိုးစားပါ။
Could not be processed,ဆောင်ရွက်၍ မရနိုင်ခဲ့ပါ
Could not create entity,အဖွဲ့အစည်း ဖန်တီး၍ မရနိုင်ခဲ့ပါ
Could not detect the area for the selected text,ရွေးထားသော စာသားအတွက် နယ်ပယ်ကို မတွေ့နိုင်ပါ၊ ထပ်မံရွေးချယ်ကြည့်ပါ။
Could not load suggestions.,အကြံပြုချက်များ မတင်နိုင်ပါ။
Could not reach server. Please try again later.,ဆာဗာကို မရောက်နိုင်ပါ။ နောက်ပိုင်း ပြန်ကြိုးစားပါ။
Count,ရေတွက်
Create,ဖန်တီးရန်
CREATE,ဖန်တီးရန်
Create a type to continue.,ဆက်လက်ရန် အမျိုးအစားတစ်ခု ဖန်တီးပါ။
Create and edit thesauri,အဓိပ္ပာယ်တူစာရင်းများ ဖန်တီးခြင်းနှင့် တည်းဖြတ်ခြင်း
Create Connection,ချိတ်ဆက်မှု ဖန်တီးပါ
Create entity,ပါဝင်သည့်အရာ ဖန်တီးရန်
Create Entity,ပါဝင်သည့်အရာ ဖန်တီးရန်
Create Extractor,ထုတ်ယူသူ ဖန်တီးပါ
Create new entities and upload documents,အဖွဲ့အစည်းအသစ်များ ဖန်တီးပြီး စာရွက်စာတမ်းများ တင်ပါ။
Create new entity from selection,ရွေးချယ်မှုမှ အသစ်အဖွဲ့အစည်း ဖန်တီးပါ။
Create Reference,ရည်ညွှန်းချက် ဖန်တီးပါ
Create relationship,ဆက်နွယ်မှု ဖန်တီးပါ
Create relationship types,ဆက်နွယ်မှုအမျိုးအစားများ ဖန်တီးပါ။
Create relationships and references,ဆက်နွယ်မှုများနှင့် ကိုးကားချက်များ ဖန်တီးပါ။
Create table of contents,အကြောင်းအရာဇယား ဖန်တီးပါ
Create visualization,မြင်ကွင်းဖန်တီးပါ
Created,ဖန်တီးခဲ့သည်
Created entity,ဖန်တီးထားသော အဖွဲ့အစည်း
Created entity coming from a public form,အများပြည်သူအသုံးပြုနိုင်သော ဖောင်မှ ဖန်တီးထားသော အဖွဲ့အစည်း
Created page,စာမျက်နှာ ဖန်တီးခဲ့သည်။
Created relation type,ဆက်နွယ်မှုအမျိုးအစား ဖန်တီးခဲ့သည်။
Created relationship,ဆက်နွယ်မှု ဖန်တီးခဲ့သည်
Created template,ပုံစံ ဖန်တီးခဲ့သည်။
Created thesaurus,အဓိပ္ပာယ်တူစာရင်း ဖန်တီးခဲ့သည်။
Created user group,အသုံးပြုသူအုပ်စုကို ဖန်တီးခဲ့သည်။
Creating entities,အဖွဲ့အစည်းများ ဖန်တီးခြင်း
Creating relationships,ဆက်နွယ်မှုများ ဖန်တီးခြင်း
Creating thesauri,အဓိပ္ပာယ်တူစာရင်းများ ဖန်တီးခြင်း
Creation date,ဖန်တီးသည့်ရက်စွဲ
CSS,CSS
csv blank state message,CSV သို့မဟုတ် ZIP ဖိုင်များကို တစ်ပြိုင်နက်အများကြီး အဖွဲ့အစည်းများ ဖန်တီးရန် အပ်လိုဒ်လုပ်ပါ။ စတင်ရန် **+ Import CSV** ကို ရွေးပါ။
CSV Import,CSV တင်သွင်းခြင်း
CSV import cancelled,CSV တင်သွင်းခြင်း ဖျက်သိမ်းခဲ့သည်။
CSV import completed,CSV တင်သွင်းမှု ပြီးစီးပါပြီ။
CSV import failed,CSV တင်သွင်းမှု မအောင်မြင်ပါ။
CSV or ZIP up to 50MB,CSV သို့မဟုတ် ZIP၊ အများဆုံး 50MB
Ctrl K,Ctrl K
Current Value/Suggestion,လက်ရှိတန်ဖိုး/အကြံပြုချက်
"Custom colors are not available for this chart type. Use the chart palette or template
            colors instead.",ဒီဂရပ်ဇယားအမျိုးအစားအတွက် စိတ်ကြိုက်အရောင်များ မရနိုင်ပါ။ ဂရပ်ဇယားအရောင်ပလက်တေး သို့မဟုတ် ပုံစံအရောင်များကို အသုံးပြုပါ။
Custom component error,စိတ်ကြိုက် အစိတ်အပိုင်း markup အမှား- မထောက်ပံ့သော တန်ဖိုးများ! သင့်ဖွဲ့စည်းပုံကို စစ်ဆေးပါ
