Key,Spanish
Are you sure you want to delete this item?,Estás seguro que quieres eliminar este elemento?
Are you sure you want to delete this relationship? This action cannot be undone.,Estás seguro que quieres eliminar esta relación? Esta acción no puede revertirse.
Are you sure you want to delete this visualization? This action cannot be undone.,¿Estás seguro de que quieres eliminar esta visualización? Esta acción no se puede deshacer.
Are you sure?,Estás seguro?
Ask Bert,Pregúntale a Bert
Attachment,Archivo
Attachment deleted,Archivo adjunto eliminado
Attachment renamed,Archivo adjunto renombrado
Attachment uploaded,Archivo adjunto subido
Attachments,Archivos adjuntos
Authentication code,Código de autenticación
auto created,creado automáticamente
Auto-accept suggestions,Aceptar automáticamente las sugerencias
auto-created,autogenerado
Automatic Table of Contents,Tabla de contenidos automática.
Automatically generated,Se genera automáticamente
Available default translation,Traducción predeterminada disponible
Back,Volver
Back to,Volver a
Back to details,Volver a los detalles
Back to search,Volver a la búsqueda
Bad Request,Petición incorrecta
Basic,Básico
Bert,Bert
Bidirectional,Bidireccional
Body,Cuerpo
boolean,booleano
Browse files to upload,Explorar archivos para subir
"by ids, methods, keywords, etc.","por ids, métodos, palabras clave, etc."
By logging in you accept the essential session cookie required to stay signed in.,"Al iniciar sesión, aceptas la cookie de sesión imprescindible necesaria para mantenerte conectado."
Can edit,Puede editar
Can see,Puede visualizar
Can view,Puede visualizar
Cancel,Cancelar
cancel csv import,Cancelar el proceso de importación. Esto detendrá la creación de nuevas entidades. Las entidades ya creadas no serán afectadas
Canceling,Cancelando
Canceling...,Cancelando
Cancelled,Cancelado
Cannot connect to server,No se puede conectar con el servidor
Cannot find extractor,No se puede encontrar el extractor
Captcha,Captcha
Captcha bypass,"Al estar activo, puede permitir que los usuarios envíen sus plantillas incluidas en la lista blanca sin tener que ingresar un CAPTCHA.
El formulario aún presentará el captcha a los usuarios finales, pero el endpoint de la API permitirá envíos sin validación de CAPTCHA si se incluye la cabecera ""Bypass-Captcha: true"". Esta opción no es segura y puede ser aprovechada para inundar su instancia con spam o contenido malicioso."
Cards,Tarjetas
Cards view,Vista de tarjetas
Category,Categoría
Change,Cambiar
Change Password,Cambiar contraseña
Changes in the thesaurus will impact all the entities using these values.,Los cambios en Tesauros impactarán en todas las entidades que usen esos valores.
Changing the type will erase all relationships to this entity.,Cambiar el tipo borrará todas las relaciones de esta entidad.
Character support description,"Esta opción mejora la compatibilidad con idiomas no latinos como idiomas predeterminados de tu colección.
Al seleccionar esta opción, todas las propiedades de la plantilla se actualizarán automáticamente. El proceso puede tardar varios minutos. Seleccionar esta opción probablemente cambiará las URL de los filtros de la colección. Como consecuencia, si tienes menús o enlaces que usan dichas URL, probablemente dejarán de funcionar.
Deberás actualizarlos manualmente. Después de seleccionar esta opción, no podrás volver a usar los nombres de la propiedad heredada. Si no tienes problemas con los nombres de las propiedades de tu plantilla, recomendamos no marcar esta opción."
Character support process warning,"Este proceso podría demorar varios minutos y probablemente cambiará las URL a los filtros de la colección. Si tienes menús o enlaces que usan dichas URL, probablemente dejarán de funcionar después de la actualización. Deberás actualizarlos manualmente."
Character support revert warning,"Después de seleccionar esta opción, no podrás volver a usar los nombres de propiedad heredada. Si no tienes problemas con los nombres de las propiedades de tu plantilla, recomendamos no marcar esta opción."
Chart,Gráfico
Chart options,Opciones del gráfico
Chart theme,Tema del gráfico
Chart type,Tipo de gráfico
Chart type uses a custom view,El tipo de gráfico utiliza una vista personalizada
Check to make this instance public (non-logged in users can see public documents and entities),Marca esta opción para que esta instancia sea pública (los usuarios que no hayan iniciado sesión podrán ver los documentos y las entidades públicas)
Checking which images fit the requirements,Comprobando qué imágenes cumplen los requisitos...
Choose,Seleccionar
Choose relation type,Seleccionar tipo de relación
Choose which data to use for training,Elige qué datos quieres utilizar para el entrenamiento
Chrome header,Encabezado superior
Clear,Limpiar
Clear all,Limpiar todo
Clear All,Limpiar Todo
Clear all filters,Borrar todos los filtros
Clear coordinates,Limpiar coordenadas
Clear Filters,Limpiar filtros
Clear PDF selection,Limpiar la selección PDF
Clear search,Limpiar búsqueda
Click,Haz clic
Click to fill,Click para completar
Click to select an image,Click para seleccionar una imagen
Click to select audio or video,Click para seleccionar audio o video
Click to select files,Click para seleccionar archivos
Close,Cerrar
Code,Código
Collaborator,Colaboradora
Collaborators,Colaboradores
Collapse all,Colapsar todo
Collapse All,Colapsar todo
Collection,Colección
Collection Name,Nombre de la colección
Colors,Colores
Colors come from the server data layer. Preview shows assigned bucket colors when available.,Los colores proceden de la capa de datos del servidor. La vista previa muestra los colores asignados a los buckets cuando están disponibles.
Columns,Columnas
combine or exclude terms,combinar o excluir términos
Comfortable,Cómoda
Common sources,Fuentes habituales
Compact,Compacta
Completed,Finalizado
Completed with errors,Finalizado con errores
Config,Configuración
Configuration,Configuración
Configure filters,Configurar filtros
Configure templates,Configurar plantillas
Confirm,Confirmar
CONFIRM,CONFIRMAR
Confirm action,Confirmar acción
Confirm delete connection,Confirmar eliminación de relación
Confirm delete multiple items,Confirmar eliminación de múltiples elementos
Confirm deletion,Confirmar la eliminación
Confirm deletion of,Confirmar la eliminación de
Confirm deletion of entity,Confirmar eliminación de entidad
Confirm deletion of file,Confirmar eliminación de archivo
Confirm new password,Confirmar nueva contraseña
Confirm your password,Confirma tu contraseña
Connect to a paragraph,Conectar a un párrafo
Connect to an entity,Conectarse a una entidad
Connect to entity,Conectar a entidad
Connected entities,Entidades conectadas
Connected to server,Conectado al servidor
Connection type,Tipo de relación
Contact email description,Aquí puedes configurar el correo electrónico de contacto y el que aparece cuando Uwazi envía una notificación a un usuario
Contact Form,Formulario de contacto
Contact form email,Correo electrónico del formulario de contacto
Contains,Contiene
Content translations,Traducciones de contenido
Context,Contexto
Continue,Continuar
Conversion failed,La conversión ha fallado
Cookie preferences,Preferencias de cookies
Copied,Copiado
Copied to clipboard,Copiado al clipboard
Copy,Copiar
Copy From,Copiar desde
Copy from,Copiar desde
Copy from this entity,Copiar desde esta entidad
Copy from...,Copiar desde...
Copy Highlighted,Copiar lo resaltado
Copy link,Copiar enlace
Copy properties to this entity from,Copiar las propiedades a esta entidad desde
Copy to clipboard,Copiar al portapapeles
Could not add media. Please try again.,No se pudo agregar el archivo. Por favor intenta nuevamente.
Could not be processed,El proceso no ha sido posible
Could not create entity,No se pudo crear la entidad
Could not detect the area for the selected text,"No se pudo detectar el área para el texto seleccionado, por favor intenta seleccionar nuevamente."
Could not load suggestions.,No se han podido cargar las sugerencias.
Could not reach server. Please try again later.,No se puede conectar con el servidor. Por favor intenta después.
Count,Recuento
Create,Crear
CREATE,Crear
Create a type to continue.,Crea un tipo para continuar.
Create and edit thesauri,Crear y editar tesauro
Create Connection,Crear Conexión
Create entity,Crear entidad
Create Entity,Crear entidad
Create Extractor,Crear extractor
Create new entities and upload documents,Crear nuevas entidades y subir documentos
Create new entity from selection,Crear nueva entidad desde selección
Create Reference,Crear Referencia
Create relationship,Crear relación
Create relationship types,Crear tipos de relación
Create relationships and references,Crear relaciones y referencias
Create table of contents,Crear tabla de contenidos
Create visualization,Crear visualización
Created,Creado
Created entity,Entidad creada
Created entity coming from a public form,Entidad creada desde un formulario público
Created page,Página creada
Created relation type,Tipo de relación creado
Created relationship,Relación creada
Created template,Plantilla creada
Created thesaurus,Tesauro creado
Created user group,Grupo de usuarios creado
Creating entities,Creación de entidades
Creating relationships,Creación de relaciones
Creating thesauri,Creación de tesauros
Creation date,Fecha de creación
CSS,CSS
csv blank state message,"Importa archivos CSV o ZIP para crear entidades en lote. Para empezar, selecciona **+ Importar CSV**."
CSV Import,Importación de CSV
CSV import cancelled,Importación de CSV cancelada
CSV import completed,Importación de CSV completada
CSV import failed,Importación de CSV fallida
CSV or ZIP up to 50MB,CSV o ZIP de hasta 50 MB
Ctrl K,Ctrl+K
Current Value/Suggestion,Valor actual/Sugerencia
"Custom colors are not available for this chart type. Use the chart palette or template
            colors instead.","No se pueden utilizar colores personalizados en este tipo de gráfico. Utiliza, en su lugar, la paleta de colores del gráfico o los
colores de la plantilla."
Custom component error,Error en el componente de marcado personalizado: valores no soportados! Por favor revisa tu configuración
Custom CSS,CSS personalizado
Custom Favicon,Favicon personalizado
Custom JS,JS Personalizado
Custom landing page,Página de destino personalizada
custom page error warning,"Hay un error inesperado en esta página personalizada, es posible que no funcione correctamente. Ponte en contacto con un administrador para más detalles."
Custom Uploads,Subidas personalizadas
Customize,Personalizar
Customized,Personalizado
Dark,Oscuro
Dark Theme,Tema oscuro
Dashboard,Tablero
Data may be outdated.,Es posible que los datos estén desactualizados.
Data source,Fuente de datos
Data sources,Fuentes de datos
Data visualizations,Visualizaciones de datos
Data was updated recently. You can refresh again in a few seconds.,Los datos se han actualizado recientemente. Puedes volver a actualizar en unos segundos.
Date,Fecha
Date added,Fecha de creación
Date modified,Fecha de la modificación
"Date or numeric × numeric enables scatter and heatmap. Line, area, and bar plot the
                measure over the primary dimension (e.g. max engine size per registration date).","Los datos de tipo ""fecha"" o ""numérico × numérico"" permiten crear gráficos de dispersión y mapas de calor. Los gráficos de líneas, áreas y barras representan la
medida en función de la dimensión principal (por ejemplo, el tamaño máximo del motor por fecha de matriculación)."
"Date or numeric × select enables line and area charts with one line per breakdown
                value over time.","Fecha o valor numérico × ""seleccionar"" permite crear gráficos de líneas y de área con una línea por valor de desglose
a lo largo del tiempo."
Date range,Intervalo de fechas
Day,Día
"Deep-merged onto the generated ECharts option. Use for fine-tuning options not exposed in
          the Chart tab.","Integrado en profundidad en la opción ECharts generada. Se utiliza para ajustar con precisión opciones que no aparecen en
 la pestaña ""Gráfico""."
Default,Predeterminado
Default date format,Formato de fecha predeterminado
Default filter,Filtro predeterminado
Default language,Idioma Predeterminado
Default language change success,Cambio de idioma predeterminado exitoso
Default template,Plantilla predeterminada
Default template set successfully.,La plantilla predeterminada se ha configurado correctamente.
Default View,Vista predeterminada
Delete,Eliminar
DELETE,Eliminar
Delete entities and documents,Eliminar entidades y documentos
Delete file,Eliminar archivo
Delete relationship,Eliminar relación
Delete relationships,Eliminar relaciones
Delete?,¿Borrar?
Deleted attachment,Archivo adjunto eliminado
Deleted custom file,Archivo personalizado eliminado
Deleted entity,Entidad eliminada
Deleted file,Archivo eliminado
Deleted multiple entities,Entidades eliminadas
Deleted page,Página eliminada
Deleted relation type,Tipo de relación eliminada
Deleted relationship,Relación eliminada
Deleted successfully.,Eliminado exitosamente.
Deleted template,Plantilla eliminada
Deleted thesaurus,Tesauro eliminado
Deleted user,Usuario eliminado
Deleted user group,Grupo de usuarios eliminado
Deletion success,Eliminación exitosa
Density,Densidad
Description,Descripción
Deselect all,Deseleccionar todo
Details,Detalle
Direction,Dirección
Disable,Desactivar
Disable highlights,Desactivar el resaltado
Disabled 2FA,Autenticación de dos factores desactivada
Discard,Descartar
Discard changes,Descartar cambios
Discard changes?,Descartar cambios?
Dismiss,Descartar
Display entity view from page,Mostrar entidad de visualización desde la página
Display options,Opciones de visualización
Do you want disable 2FA for the following users?,¿Quieres desactivar la autenticación de dos factores (2FA) para los siguientes usuarios?
Do you want reset the password for the following users?,¿Quieres restablecer la contraseña de los siguientes usuarios?
Do you want to delete the following items?,¿Quieres eliminar los siguientes elementos?
Document,Documento
Document contents,Contenidos del documento
Document OCR trigger,Desencadenador de OCR de documento
Document Title,Título del documento
Document updated,Documento actualizado
Documentation,Documentación
documents,Documentos
Documents,Documentos
documents.,documentos.
Done,Hecho
Done creating entities,Se ha finalizado la creación de entidades
Done creating relationships,Se ha finalizado la creación de las relaciones.
Done creating thesauri,Se ha finalizado la creación de los tesauros
Done extracting files,Se ha completado la extracción de los archivos
Done scanning,Escaneo finalizado
Download,Descargar
Download a third-party authenticator app from your mobile store.,Descarga una aplicación de autenticación de terceros desde tu tienda de aplicaciones.
Download all,Descargar todo
Download failed rows,Descargar las filas en las que se ha producido un error
Draft restored from release.,Borrador recuperado de la versión publicada.
Drag and drop file in this window to upload,Arrastrar y soltar el archivo en esta ventana para subir.
Drag row,Arrastrar fila
Drop your files here to upload or,Suelta los archivos aquí para cargar o
Duplicate values not allowed.,No se permiten valores duplicados.
Duplicated email,Correo electrónico duplicado
Duplicated name,Nombre duplicado
Duplicated username,Nombre de usuario duplicado
Duration,Duración
e.g.,ej.
Each series uses the template brand color when comparing data sources.,Cada serie utiliza el color de marca de la plantilla al comparar fuentes de datos.
Earlier,Más temprano
Edit,Editar
Edit at source,Editar en la fuente
Edit date,Fecha de la modificación
Edit Extractor,Editar Extractor
Edit File,Editar archivo
Edit group,Editar grupo
Edit item,Editar elemento
Edit metadata of entities,Editar metadatos de entidades
Edit theme,Editar tema
Edit user,Editar usuario
Edited,Editado
Editor,Editor
editor,Editor
Editors,Editores
Email,Correo electrónico
Embed,Incrustar
Embed in pages,Incrustar en páginas
Empty,Vacío
Empty group. Drop here to add,Grupo vacío. Arrastra aquí para añadir
empty property tip,No podrás guardar una entidad si esta propiedad está vacía.
Enable,Activar
Enable public embedding to use this chart in external sites on private instances.,Activa la opción de incrustación pública para poder utilizar este gráfico en sitios web externos en instancias privadas.
Enable this page to be used as an entity view page:,Habilitar a esta página para que se use como página de vista de entidad:
Enter the 6-digit verification code generated by your Authenticator app,Introduce el código de verificación de 6 dígitos generado por tu aplicación Authenticator
"Enter the full username, email, or group name. Suggestions are not shown.","Introduce el nombre de usuario completo, la dirección de correo electrónico o el nombre del grupo. No se muestran sugerencias."
Enter your current password to confirm,Introduce tu contraseña actual para confirmar
Entities,Entidades
entities,Entidades
Entities across all languages,Entidades en todos los idiomas
Entities created,Entidades creadas
Entities updated,Entidades actualizadas
entities · generated,entidades · generadas
Entity,Entidad
Entity creation stage completed.,Se ha completado la fase de creación de la entidad.
Entity deleted,Entidad eliminada
Entity Page,Página entidad
Entity saved,Entidad grabada
Entity scope,Ámbito de la entidad
Entity type,Tipo de entidad
Entity types,Tipos de entidades
Entity updated,Entidad actualizada
Error,Error
Error adding thesauri.,Error al añadir tesauros.
Error loading your image,Error al cargar la imagen
Error saving template.,Error al guardar la plantilla.
Error updating thesauri.,Error al actualizar los tesauros.
evidence,evidencia
exact phrase,frase exacta
Expand all,Expandir todo
Expand All,Expandir todo
Export CSV,Exportar CSV
Exporting entities to CSV,Exportando entidades a CSV
Extension Token,Token extensión
External embed,Incrustación externa
Extract new paragraphs,Extraer nuevos párrafos
Extract paragraphs,Extraer párrafos
Extracting files,Extrayendo archivos
Extracting files from uploaded package.,Extrayendo archivos del paquete cargado.
Extraction configuration,Configuración de la extracción
Extractor Name,Nombre del extractor
Extractor name,Nombre del extractor
Extractor/s deleted,Se han eliminado uno o varios extractores
Extractors,Extractores
Failed,Fallido
Failed to mark table of contents as reviewed,Error al marcar la tabla de contenidos como revisada
Failed to save table of contents,No se ha podido guardar la tabla de contenidos
Failure details,Detalles del fallo
Favicon description,"Un favicon es un pequeño ícono que representa a tu colección en las pestañas y marcadores del navegador. El favicon predeterminado es el logo de Uwazi. Para usar el tuyo:

1. Sube tu ícono en Subidas personalizadas si hace falta.
2. Haz clic en ""Seleccionar imagen del favicon"" y elige un archivo (solo imágenes de Subidas personalizadas).
3. Recarga la página para ver tu favicon en acción."
Favicon no images hint,No hay imágenes de favicon
FEATURED,DESTACADO
File,Archivo
file,archivo
File deleted,Archivo eliminado
File details,Detalles del archivo
File extraction completed successfully.,La extracción del archivo se ha completado correctamente.
File name,Nombre del archivo
File preview unavailable,No se puede previsualizar el archivo
File updated,Archivo actualizado
Files,Archivos
files,archivos
Files and database usage,Uso de archivos y base de datos
Fill,Rellenar/completar
Filter,Filtro
Filter unauthorized relationships,"De forma predeterminada, las relaciones que apuntan a entidades restringidas son visibles para los usuarios anónimos, pero no aparecen como enlace. Al activar esta opción, estas relaciones se ocultan por completo, evitando que los usuarios públicos sepan que existe contenido restringido."
Filters,Filtros
Filters AND operator,Y
Filters configuration,Configuración de filtros
Filters configuration description,"Por omisión, los usuarios pueden filtrar las entidades en la colección basados en los tipos que has definido. Sin embargo, puedes configurar cómo estos tipos de entidades se mostrarán."
Filters configuration example,"selecciona ""Crear grupo"" a continuación, para agrupar filtros bajo una etiqueta, por ejemplo (""Documentos"" o ""Personas"")"
Filters OR operator,O
Filters saved,Filtros guardados
Find,Encontrar
Find suggestions,Encontrar sugerencias
Find suggestions after training,Encuentra sugerencias tras el entrenamiento
Find suggestions for,Encuentra sugerencias para
Find suggestions for selected,Encuentra sugerencias para una selección de
Finding suggestions,Encontrando sugerencias
Fit,Encajar
Flag,Bandera
for,para
For all entities,Para todas las entidades
For entities with blank values,Para entidades con valores en blanco
Forgot Password or Username?,¿Has olvidado tu contraseña o tu nombre de usuario?
Forms and email configuration,Configuración de formularios y correo electrónico
From,De
From all suggestions,De entre todas las sugerencias
From previous step,Desde el paso anterior
From selection,De la selección
From:,Desde:
Full mode,Modo completo
Full width,Ancho completo
General,General
General access,Acceso general
General Information,Información general
Generated ID,ID generado
Global CSS,CSS global
Global CSS & JS,CSS Global & JS
Global JS,Global JS
Google,Google
Google Analytics,Google Analytics
Google Maps,Google Maps
Group,Grupo
Group by,Agrupar por
group expressions,expresiones de agrupación
Group Options,Opciones de agrupación
Group saved,Grupo guardado
Group updated,Grupo actualizado
Grouped geolocation properties,Propiedades de geolocalización agrupadas
Groups,Grupos
Header and button preview,Vista previa del encabezado y del botón
Header bar active background,Fondo activo de la barra de encabezado
Header bar background,Fondo de la barra de encabezado
Header bar divider,Separador de la barra de encabezado
Header bar hover background,Fondo de la barra de encabezado al pasar el cursor por encima
Header bar text,Texto de la barra de encabezado
help,ayuda
here,aquí
"Hi, I'm Bert.","Hola, soy Bert."
Hide,Ocultar
Hide actions,Ocultar acciones
Hide details,Ocultar detalles
Hide label,Ocultar etiqueta
Hide restricted relationships from public,Ocultar las relaciones restringidas al público
Hide toolbar,Ocultar barra de herramientas
HTML,HTML
https://yourdomain,https://tudominio
hub,nodo
hubs,nodos
Hybrid,Híbrido
Icon,Icono
ID,ID
ID:,ID:
"If an account exists with the email you provided, you will receive an email
                        with instructions to reset your password.","Si ya existe una cuenta con la dirección de correo electrónico que has facilitado, recibirás un correo electrónico
con instrucciones para restablecer tu contraseña."
"If it is an external URL, use a fully formed URL. Ie. http://www.uwazi.io.","Si utilizas una URL externa, utiliza una dirección completa. Ejemplo: http://www.uwazi.io."
"If you want to continue, please type","Si quieres continuar, por favor escribe"
Image doesn't match the required size.,La imagen no tiene el tamaño requerido.
Import,Importar
Import / Export CSV,Importar/Exportar CSV
Import asset,Importar recurso
Import CSV,Importar CSV
Import failed. Review details below.,La importación ha fallado. Consulta los detalles a continuación.
Import finished successfully.,La importación se ha completado correctamente.
Import finished with errors. Review details below.,La importación ha finalizado con errores. Consulta los detalles a continuación.
Import is currently processing rows.,La importación está procesando las filas en este momento.
Import is retrying after an error.,La importación se está reintentando tras un error.
Import theme instance file,Importar el archivo de instancia del tema
Import was cancelled.,La importación se ha cancelado.
Imported translations from file,Traducciones importadas desde el archivo
in,en
"In a group, either all relationships must have a hub or none of them.","En un grupo, todas las relaciones deben tener un nodo o ninguno de ellos."
In OCR queue,En cola para ROC
In use,En uso
Include all entities,Incluir todas las entidades
Include only public,Incluir solo las entidades publicadas
Incoming,Entrante
Info,Información
Information extraction training,Entrenamiento de extracción de información
Inherit,Heredar
Inherit property,Heredar propiedad
Inherit type,Tipo de herencia
"Inherited values are read-only. Change the connection above, or edit the source entity.","Los valores heredados son de solo lectura. Cambia la conexión anterior, o edita la entidad fuente."
inherits,hereda
Input,Entrada
Input type,Tipo de entrada
Install,Instalar
Install Language(s),Instalar Idioma(s)
Install the browser extension.,Instalar la extensión del navegador.
Installing languages,Instalando idiomas
"Instructions on how to achieve this will vary according to the app used, please refer to the app's documentation.",Las instrucciones para hacerlo variarán en función de la aplicación que se utilice; consulta la documentación de la aplicación.
Instructions to reset password,"Se han enviado las instrucciones para restablecer tu contraseña, por favor revisa tu correo electrónico."
Instructions to reset the password were sent to the user,Se han enviado al usuario las instrucciones para restablecer la contraseña.
Invalid captcha,Captcha no válido
Invalid csv: all the values for a row must be either nested or non-nested,CSV no válido: o todos o ninguno de los valores para una fila deben estar anidados
Invalid csv: nested value need to be under a non-nested value,CSV no válido: los valores anidados necesitan estar bajo un valor no anidado
Invalid form,Es necesario introducir un valor o el valor introducido no es válido. Corrígelo e inténtalo de nuevo.
Invalid URL,URL no válida
It could also very easily break the app. Only write code here if you know exactly what you are doing.,La aplicación incluso podría dejar de funcionar. Escribe código aquí únicamente si sabes exactamente lo que estás haciendo.
it has been logged with request id #,ha sido registrado con el id de solicitud #
Item,Elemento
Items:,Elementos:
Javascript,JavaScript
juris*,juris*
key,clave
Label,Etiqueta
"Label date ""From""",De:
"Label date ""to""",A:
Labeled,Etiquetado
Landing page,Página de inicio
Landing page description,"La página de inicio es la primera página que los visitantes ven cuando entran a tu colección. La página de inicio predeterminada es la librería de tu colección. Puedes configurar una página de inicio diferente añadiendo su URL relativa aquí. Por ejemplo:

Una página: */page/dicxg0oagy3xgr7ixef80k9*
Una vista filtrada en Uwazi: */library/?searchTerm=test*
Una entidad: */entity/9htbkgpkyy7j5rk9*
Un documento: */document/4y9i99fadjp833di*

Importante: Debes usar URLs relativos. Estos empiezan con / y no incluyen el nombre del dominio. Por ejemplo: En la dirección *https://yoursite.com/landingpage*, el URL relativo es /landingpage"
Language,Idioma
Language Code,Código de Idioma
Language deleted,Idioma eliminado
Language reset success,Idioma reseteado exitósamente
Language uninstalled successfully,El idioma se ha desinstalado correctamente
Language(s),Idioma(s)
Language:,Idioma:
Languages,Idiomas
Languages installed successfully,Los idiomas se han instalado correctamente
Last updated,Última actualización
Last updated from collection:,Última actualización de la colección:
Latitude,Latitud
Latitude must be between -90 and 90,Latitud debe estar entre -90 y 90
Learn how to add and configure a contact form on a webpage.,Aprende a añadir y configurar un formulario de contacto en una página web.
Learn how to build your first collection,Aprende a crear tu primera colección
Learn more,Aprender más
Learn more about the components.,Más información sobre los componentes.
Legend,Leyenda
Lengthy reindex process,Proceso de reindexación largo
Library,Colección
library list view,vista de lista de la colección
library map view,vista de mapa de la colección
library table view,vista de tabla de la colección
Light,Claro
Light Theme,Tema claro
Link,Enlace
linked,vinculado
List,Lista
