Key,French
Deleted attachment,Deleted attachment
Deleted custom file,Deleted custom file
Deleted entity,Deleted entity
Deleted file,Deleted file
Deleted multiple entities,Deleted multiple entities
Deleted page,Deleted page
Deleted relation type,Deleted relation type
Deleted relationship,Deleted relationship
Deleted successfully.,Deleted successfully.
Deleted template,Deleted template
Deleted thesaurus,Deleted thesaurus
Deleted user,Deleted user
Deleted user group,Deleted user group
Deletion success,Deletion success
Description,Description
Disable,Disable
Disable highlights,Disable highlights
Disabled 2FA,Disabled 2FA
Discard changes,Annuler les modifications
Discard changes?,Discard changes?
Dismiss,Dismiss
Display entity view from page,Afficher la vue de l'entité depuis la page
Do you want disable 2FA for the following users?,Do you want disable 2FA for the following users?
Do you want reset the password for the following users?,Do you want reset the password for the following users?
Do you want to delete the following items?,Do you want to delete the following items?
Document,Document
Document and entity types,Types de documents et d'entités
Document contents,Contenu du document
Document OCR trigger,Document OCR trigger
Document Title,Titre du document
Documentation,Documentation
documents,Documents
Documents,Documents
documents.,Documents.
Done,Done
Done creating entities,Done creating entities
Done creating relationships,Done creating relationships
Done creating thesauri,Done creating thesauri
Done extracting files,Done extracting files
Done scanning,Done scanning
Download,Télécharger
Download a third-party authenticator app from your mobile store.,Download a third-party authenticator app from your mobile store.
Download failed rows,Download failed rows
Drag and drop file in this window to upload,Faites glisser et déposez le fichier dans cette fenêtre pour le télécharger
Drag row,Drag row
Drop your files here to upload or,Déposez vos fichiers ici pour les télécharger ou
Duplicate values not allowed.,Duplicate values not allowed.
Duplicated email,Courriel en double
Duplicated name,Nom dupliqué
Duplicated username,Nom d'utilisateur en double
Duration,Durée
Edit,Éditer
Edit Extractor,Edit Extractor
Edit File,Edit File
Edit group,Edit group
Edit item,Edit item
Edit metadata of entities,Edit metadata of entities
Edit theme,Edit theme
Edit user,Edit user
Editor,Éditeur
editor,Éditeur
Editors,Editors
Email,E-mail
Email address,Adresse e-mail
Email updated,E-mail mis à jour
Empty,Vide
Empty group. Drop here to add,Empty group. Drop here to add
empty property tip,You won't be able to save an entity if this property is empty.
Enable,Enable
Enable this page to be used as an entity view page:,Activez cette page pour qu'elle soit utilisée comme page de visualisation des entités :
Enter the 6-digit verification code generated by your Authenticator app,Enter the 6-digit verification code generated by your Authenticator app
Enter your current password to confirm,Enter your current password to confirm
Entities,Entités
entities,Entités
Entities across all languages,Entities across all languages
Entities created,Entities created
Entity,Entité
Entity creation stage completed.,Entity creation stage completed.
Entity deleted,Entity deleted
Entity Page,Entity Page
Entity saved,Entity saved
Entity types,Types d'entités
Entity updated,Entity updated
Error,Erreur
Error adding thesauri.,Error adding thesauri.
Error deleting template(s),Error deleting template(s)
Error loading your image,Error loading your image
Error saving template.,Error saving template.
Error setting default template,Error setting default template
Error updating thesauri.,Error updating thesauri.
Expand all,Expand all
Expand All,Expand All
Export CSV,Exporter CSV
Exporting entities to CSV,Exporter des entités vers CSV
Extension Token,Extension Token
Extract new paragraphs,Extract new paragraphs
Extract paragraphs,Extract paragraphs
Extracting files,Extracting files
Extracting files from uploaded package.,Extracting files from uploaded package.
Extraction configuration,Extraction configuration
Extractor Name,Extractor Name
Extractor name,Extractor name
Extractor/s deleted,Extractor/s deleted
Extractors,Extractors
Failed,Failed
Failed jobs,Failed jobs
Failed to save table of contents,Failed to save table of contents
Failure details,Détails de l'échec
Favicon description,"Un favicon est une petite icône qui représente votre collection dans les onglets et les favoris du navigateur. Le favicon par défaut est le logo Uwazi. Pour utiliser le vôtre :

1. Téléchargez votre icône dans Téléchargements personnalisés si nécessaire.
2. Cliquez sur ""Sélectionner l'image du favicon"" et choisissez un fichier (images des Téléchargements personnalisés uniquement).
3. Rechargez la page pour voir votre favicon."
Favicon no images hint,Favicon no images hint
FEATURED,FEATURED
File,Fichier
File deleted,File deleted
File extraction completed successfully.,File extraction completed successfully.
File name,File name
File updated,File updated
Files,Files
Files and database usage,Files and database usage
Fill,Remplir
Filters,Filtres
Filters AND operator,ET
Filters configuration,Configuration des filtres
Filters configuration description,"By default, users can filter the entities in the library based on the types you have defined. However, you can configure how these entity types will be displayed:"
Filters configuration example,Exemple de configuration des filtres
Filters OR operator,OU
Filters saved,Filters saved
Find,Trouver
Find suggestions,Trouver des suggestions
Find suggestions after training,Find suggestions after training
Find suggestions for,Find suggestions for
Find suggestions for selected,Find suggestions for selected
Finding suggestions,Finding suggestions
Fit,Adapter
Flag,Drapeau
for,for
For all entities,For all entities
For entities with blank values,For entities with blank values
Forgot Password or Username?,Forgot Password or Username?
Forgot Password?,Mot de passe oublié?
Forms and email configuration,Configuration des formulaires et des e-mails
From,From
From all suggestions,From all suggestions
From previous step,From previous step
Full width,Full width
General,Général
General Information,General Information
Generated ID,Generated ID
Global CSS,CSS global
Global CSS & JS,Global CSS & JS
Google,Google
Google Analytics,Google Analytics
Google Analytics ID,Indentifiant Google Analytics
Google Maps,Google Maps
Group,Group
Group Options,Group Options
Group saved,Group saved
Group updated,Group updated
Groups,Groupes
Header and button preview,Header and button preview
help,Aide
here,here
Hide,Hide
Hide actions,Hide actions
Hide label,Masquer l'étiquette
Hide toolbar,Hide toolbar
https://yourdomain,https://votredomaine
hubs,hubs
Hybrid,Hybride
Icon,Icône
ID,ID
ID:,ID:
"If an account exists with the email you provided, you will receive an email
                        with instructions to reset your password.","If an account exists with the email you provided, you will receive an email
                        with instructions to reset your password."
"If it is an external URL, use a fully formed URL. Ie. http://www.uwazi.io.","Si c'est une URL externe, utilisez une URL complète. Par exemple, http://www.uwazi.io."
"If you want to continue, please type","Si vous voulez continuer, veuillez taper"
Image doesn't match the required size.,Image doesn't match the required size.
Import,Importer
Import asset,Import asset
Import completed,Import completed. Number of entities created:
Import CSV,Importer CSV
Import failed. Review details below.,Import failed. Review details below.
Import finished successfully.,Import finished successfully.
Import instructions,Instructions d'importation
Import is currently processing rows.,Import is currently processing rows.
Import is retrying after an error.,Import is retrying after an error.
Import was cancelled.,Import was cancelled.
Imported entities from file,Imported entities from file
Imported translations from file,Imported translations from file
Importing data in progress,Importation de données en cours
in,dans
"In a group, either all relationships must have a hub or none of them.","In a group, either all relationships must have a hub or none of them."
In OCR queue,dans la file d'attente OCR
Indexing entities may take a few minutes,L'indexation des entités peut prendre quelques minutes
Info,Info
Information extraction training,Information extraction training
Inherit,Inherit
Inherit property,Hériter la propriété
Inherit type,Inherit type
Input,Input
Install,Install
Install Language(s),Install Language(s)
Install the browser extension.,Install the browser extension.
Installing languages,Installing languages
"Instructions on how to achieve this will vary according to the app used, please refer to the app's documentation.","Instructions on how to achieve this will vary according to the app used, please refer to the app's documentation."
Instructions to reset password,"If the email address supplied is correct, we will send instructions to reset the password."
Instructions to reset the password were sent to the user,Instructions to reset the password were sent to the user
Invalid captcha,Captcha invalide
Invalid csv: all the values for a row must be either nested or non-nested,Invalid csv: all the values for a row must be either nested or non-nested
Invalid csv: nested value need to be under a non-nested value,Invalid csv: nested value need to be under a non-nested value
Invalid form,Formulaire invalide
It could also very easily break the app. Only write code here if you know exactly what you are doing.,Cela pourrait aussi très facilement casser l'application. N'écrivez du code ici que si vous savez exactement ce que vous faites.
it has been logged with request id #,it has been logged with request id #
Item,Item
Items:,Articles :
Javascript,Javascript
key,French
Label,Étiquette
"Label date ""From""",Du
"Label date ""to""",Au
Labeled,Labeled
Landing page,Page d'accueuil
Landing page description,"The landing page is the first page that visitors see when they come to your collection. The default landing page is your collection's library. You can set a different landing page by adding its relative URL here. For example:
      
A page: */page/dicxg0oagy3xgr7ixef80k9*
A filtered view in Uwazi: */library/?searchTerm=test*
An entity: */entity/9htbkgpkyy7j5rk9*
A document: */document/4y9i99fadjp833di*
      
Important: You must use relative URLs. These start with a forward slash and do not include the domain name. For example: In the address *https://yoursite.com/landingpage*, the relative URL is /landingpage"
Language,Langue
Language Code,Language Code
Language deleted,Language deleted
Language reset success,Language reset success
Language uninstalled successfully,Language uninstalled successfully
Language(s),Language(s)
Language:,Language:
Languages,Languages
Languages installed successfully,Languages installed successfully
Last updated,Last updated
Latitude,Latitude
Learn more,Learn more
Legend,Legend
Lengthy reindex process,Lengthy reindex process
Library,Bibliothèque
library list view,Bilbliothèque en vue par liste
library map view,Bilbliothèque en vue cartographique
library table view,Bilbliothèque en vue tabulaire
Light,Light
Light Theme,Light Theme
Link,Link
linked,Lié
Live preview,Live preview
Live translate,Live translate
Loading,Loading
Login,Connexion
Login button,Bouton de Connexion
Login failed,Échec de la connexion
Logout,Se déconnecter
Longitude,Longitude
Lost connection to the server. Your changes may be lost,Lost connection to the server. Your changes may be lost
low,Bas
Manage site settings and configuration,Gérer la configuration et les paramètres du site
Manually set a color,Manually set a color
Map,Map
Map api key,Map api key
Map API key,Map API key
Map api key tooltip,An API key is required to use Mapbox or Google Maps.
Map Layers,Map Layers
Map layers description,Map layers description
Map Provider,Map Provider
Map view,Vue sur carte
Mapbox,Mapbox
Mapping conflict error,"A reindex of your collection is necessary. The reason may vary 
        -- from certain changes made to a template's property to new fields
        that need to be populated across entities. 
        This process will not negatively affect the data in your collection. 
        It can last a few minutes and some parts of your collection might take
        some time to reappear in the Library, but this is temporary. Do you want to continue?"
Maps,Maps
Mark as Reviewed,Mark as Reviewed
Mark as reviewed,Mark as reviewed
Markdown,Markdown
marked and labeled,marked and labeled
marked for training,marked for training
Marked for training + all labeled entries,Marked for training + all labeled entries
Marked for training only,Marked for training only
Match,Match
Matching,Matching
matching,matching
Matomo,Matomo
Members,Members
Menu,Menu
Message,Message
Message sent,Message sent
Metadata,Métadonnées
Metadata Extraction,Metadata Extraction
MIGRATE,MIGRATE
Minimum,Minimum
Mismatch,Mismatch
mismatched passwords,Passwords don't match
mismatching,mismatching
Mixed access,Mixed access
ML TOC,ML TOC
Month,Month
Months,Months
more options.,plus d'options.
Multiple date,Multiple date
Multiple date range,Multiple date range
Multiple inherited properties warning ([property 1] affects [property 2]),affecte
Multiple relationships edit description,Making changes to this property will affect other properties on this template because they all share relationships with the same configuration.
Multiple select,Multiple select
Name,Nom
Name is required,Name is required
Name is too long,Name is too long
Name is too short,Name is too short
Narrow down your searches,Narrow down your searches
Narrow your search,Narrow your search
Navigate back,Navigate back
Navigation menu tool tip part 1,"If it is an internal URL within this website, be sure to delete the first part"
Navigation menu tool tip part 2,leaving only a relative URL starting with a slash character. Ie. /some_url.
New,New
New entity,Nouvelle entité
New group,New group
New language added,New language added
New page,New page
New password,Nouveau mot de passe
New relationship type,New relationship type
New relationships group,New relationships group
New Relationships Migration,New Relationships Migration
New user,New user
Next,Next
No,Non
No attachments,No attachments
No common filters,Pas de filtres communs
No Connections,Pas de connexions
No Connections description,Connections are the direct relationships between this document and other documents and entities.
No context,No context
No CSVs yet,No CSVs yet
NO DATA AVAILABLE,NO DATA AVAILABLE
NO EXTRACTORS,NO EXTRACTORS
No files available,No files available
no filters for templates,The combination of entity types doesn't have any filters in common.
No Group,No Group
No icon / flag,No icon / flag
No items available,No items available
No Label,Aucune étiquettes
No label,No label
No notifications or active tasks.,No notifications or active tasks.
No options,No options
No options found,Aucune option trouvée
No property,Aucune propriété
No References,Pas de références
No References description,References are parts of this document related with other documents and entities.
No relationship types available,No relationship types available
No Relationships,Aucune relation
No Relationships description,Relationships are bonds between entities.
No results found,No results found
No table of contents,Aucune table des matières
No Table of contents,No Table of contents
No table of contents description,Aucune description de Table des matières
No text match,Aucune correspondance de texte
No text match description,You can type something different in the search box to get some results.
No type,Sans type
No uploaded images fit the requirements,No uploaded images match these size requirements. Upload a new image or use an editor to resize an existing file.
No valid target template available,No valid target template available
No value,Aucune valeur
No Value,Aucune valeur
"No, cancel","No, cancel"
Non processed,Non traités
Non-labeled,Non-labeled
Normal view,Normal view
Not already been use as source template in another extractor,Not already been use as source template in another extractor
Not already been use as target template,Not already been use as target template
Not Found,Not Found
Nothing selected,Nothing selected
Notifications,Notifications
Obsolete,Obsolete
obsolete,obsolete
OCR,OCR
OCR button tip,This will process the document to recognize it's text. The original file will be added as a supporting file.
OCR completed,ROC terminé
OCR description tip 1,"This will enable the Optical Character Recognition (OCR) functionality for PDF documents. This service will recognize text inside images, such as scanned documents and photos, and convert it into machine-readable text data."
OCR description tip 2,"When activated, this will enable administrator and editor users to send PDF documents to the OCR service."
OCR error,Erreur OCR
OCR error tip,The OCR engine couldn't read the document due to a malformed format. Last updated
OCR PDF,OCR PDF
of,de
Ok,Ok
OK,OK
"Only templates that are not used as source in any other extractor and are not
                selected as target in this extractor are available for selection.","Only templates that are not used as source in any other extractor and are not
                selected as target in this extractor are available for selection."
"Only templates with at least one rich text property and one numeric property are
                available for selection.","Only templates with at least one rich text property and one numeric property are
                available for selection."
"Only the extractor will be deleted, all created entities will remain on the library.","Only the extractor will be deleted, all created entities will remain on the library."
Open,Open
Open group,Open group
Open PDF,Open PDF
Open the two-factor Authenticator app on your device,Ouvrez l'application d'authentification à deux facteurs sur votre appareil
Options,Options
or,ou
or drop your files here.,ou déposez vos fichiers ici.
Order,Organiser par
Other,Autre
other,Autre
Other users will be affected by this action!,Other users will be affected by this action!
Others,Others
Page,Page
Page not found,Page non trouvée
Pages,Pages
Paragrap number extraction property (numeric),Paragrap number extraction property (numeric)
Paragraph,Paragraph
Paragraph Extraction,Paragraph Extraction
Paragraph Extractor added,Paragraph Extractor added
Paragraph text extraction property (rich text),Paragraph text extraction property (rich text)
Paragraphs,Paragraphs
Paragraphs deleted,Paragraphs deleted
Password,Mot de passe
Password + 2fa,Password + 2fa
Password changed success,Password changed success
Password Error,Erreur de mot de passe
Password is too long,Le mot de passe est trop long
Password updated,Mot de passe mis à jour
Passwords do not match,Passwords do not match
Paste URL here,Paste URL here
PDF,PDF
Pending,Pending
per page,per page
Permission,Permission
Permission on entities explicitly shared with the user,Permission sur les entités explicitement partagées avec l'utilisateur
Permissions,Permissions
Pick a color,Pick a color
Plain text,Texte brut
Please contact an admin for details.,Veuillez contacter un administrateur pour plus de détails.
Please type in,Please type in
Please type in letters and numbers from the image to start the export.,Veuillez saisir les lettres et les chiffres de l'image pour lancer l'exportation.
Preflight scan completed.,Preflight scan completed.
Preparing required relationships.,Preparing required relationships.
Preparing required thesauri values.,Preparing required thesauri values.
Preserve,Preserve
Preserve Extension,Preserve Extension
Preserve Setup Description,"If you know your Uwazi URL and TOKEN click the link below, and fill the required information."
Press enter to add,Appuyez sur la touche Entrée pour ajouter
Preview,Aperçu
Previous,Précédent
Primary button,Primary button
Primary Documents,Documents principaux
Priority sorting,Tri prioritaire
Priority sorting description,"Properties marked as priority sorting will be used as default sorting criteria. If more than one property is marked as priority sorting the system will try to pick-up the best fit. When listing mixed template types, the system will pick-up the best combined priority sorting."
Private entities description,Caution: the selected entities will be **private**. Only allowed users will be able to see them.
Private instance,Instance privée
Process,Process
Process extractor,Process extractor
Process selected,Process selected
Processed,Processed
Processed rows,Processed rows
Processing,Traitement
Progress,Progress
Properties,Propriétés
Properties from other templates in the collection using the same label,Propriétés d'autres modèles de la collection utilisant la même étiquette
Properties from other templates in the collection using the same label.,Properties from other templates in the collection using the same label.
"Properties marked as priority sorting will be used as default sorting criteria. If more than one property is marked as priority sorting the system will try to pick-up the best fit. When listing mixed template types, the system will pick-up the best combined priority sorting.","Properties marked as priority sorting will be used as default sorting criteria. If more than one property is marked as priority sorting the system will try to pick-up the best fit. When listing mixed template types, the system will pick-up the best combined priority sorting."
Property,Property
Property as filter description,"This property will be used for filtering the library results. When properties match in equal name and field type with other entity types, they will be combined for filtering."
property date,Date
property daterange,Date range
property generatedid,Generated ID
property geolocation,Geolocation
property image,Image
property link,Link
property markdown,Rich text
property media,Media
property multidate,Multiple date
property multidaterange,Multiple date range
property multiselect,Multiple select
property numeric,Numeric
property preview,Preview
property relationship,Relationship
property select,Select
property text,Text
Property type,Property type
Protection,Protection
ProTip!,ProTip !
Public entities description,Caution: the selected entities will be **public**. Anyone will be able to see them.
Public form settings description,Here you can configure the public form destination and the whitelisted templates
Public Form submit URL,Public Form submit URL
Public form URL description,"If you have configured a public form and would like a different Uwazi collection to receive the submissions, enter its URL here."
Public form whitelist description,"If you wish to include Public Forms on your pages, you must white-list the template IDs for which Public Forms are expected."
Publish,Publier
Published,Publié
QR Code,QR Code
Query,Requête
Queued,Queued
RAW,RAW
Re-uploaded document,Re-uploaded document
Receiving email,Reception d'e-mail
Receiving email description,"If you have a contact form, this is the email address that will receive the form's submissions."
Recommended,Recommended
Reference,Reference
References,Références
Reject,Rejeter
Related entities created,Related entities created
Relation type,Relation type
Relationship,Relation
Relationship Type,Relationship Type
Relationship type,Relationship type
Relationship type created successfully.,Relationship type created successfully.
Relationship type name,Relationship type name
Relationship type name already exists,Relationship type name already exists
Relationship types,Types de relations
relationships,Relations
Relationships,Relations
Relationships saved,Relationships saved
RelationType saved,Type de relation sauvegardé
remaining files,remaining files
Remote Server Unreachable,Remote Server Unreachable
Remove,Supprimer
Remove from training set,Remove from training set
remove icon,Supprimer l'icône
Removed language,Removed language
Rename,Renommer
Renamed attachment,Renamed attachment
Repeat Password,Répéter Mot de passe
Request id #,Numéro d'identification de la demande
Request token,Request token
Required,Required
Required property,Propriété requise
Required relationships were prepared.,Required relationships were prepared.
Required thesauri values were prepared.,Required thesauri values were prepared.
Reset,Réinitialiser
Reset 2FA,Réinitialiser 2FA
Reset default translation,Reset default translation
Reset language,Reset language
Reset Password,Réinitialiser le mot de passe
Reset passwords,Reset passwords
Restricted,Limité
Retryable,Retryable
Retrying,Retrying
Return to login,Retourner à la connexion
Review,Review
Reviewed,Révisé
Role,Rôle
Route,Route
Row,Row
Rows failed,Rows failed
Rows processed,Rows processed
Sample,Echantillon
Satellite,Satellite
Save,Sauvegarder
Save & Preview,Save & Preview
Save changes,Enregistrer les modifications
Save password,Sauvegarder le mot de passe
Save your work to make change permanent,Save your work to make change permanent
Saved successfully.,Saved successfully.
Saving...,Saving...
Scanning,Scanning
Scanning rows before import.,Scanning rows before import.
Search,Recherche
Search item,Recherche d'éléménts
Search related entities or documents,Rechercher des entités ou des documents liés
Search relevance,Pertinence de recherche
Search text,Recherche de texte
Search text description,Type something in the search box to get some results.
Search Tips,Astuces de recherche
Search Tips: boolean,Astuces de recherche: Booléen
Search Tips: exact term,Astuces de recherche: Terme exact
Search Tips: one char wildcard,Astuces de recherche: terme générique a un caractère
Search Tips: proximity,Astuces de recherche: proximité
Search Tips: wildcard,Astuces de recherche: caractère générique
Searching...,Searching...
Secondary button,Secondary button
Secret keys,Secret keys
Security,Security
Select,Select
Select & Search,Select & Search
Select all,Tout sélectionner
Select an existing image,Select an existing image
Select favicon image,Sélectionner l'image du favicon
Select files on your device,Sélectionnez les fichiers sur votre appareil
Select from computer,Select from computer
Select relationship type,Sélectionner le type de relation
Select site logo image,Sélectionner l'image du logo du site
Select target paragraph,Sélectionner le paragraphe cible
