Key,Korean
All data,All data
All editing options will be disabled.,All editing options will be disabled.
All of the paragraphs will be deleted,All of the paragraphs will be deleted
All of the previously created paragraphs will be deleted and recreated after the process.,All of the previously created paragraphs will be deleted and recreated after the process.
Allow captcha bypass,Allow captcha bypass
Allow public embedding without login,Allow public embedding without login
Already exists,Already exists
Amount,Amount
An error has occured while deleting a language:,An error has occured while deleting a language:
An error has occured while installing languages:,An error has occured while installing languages:
An error has occurred,An error has occurred
An error has occurred during data export,An error has occurred during data export
An error has occurred while installing languages:,An error has occurred while installing languages:
An error has occurred while uninstalling a language:,An error has occurred while uninstalling a language:
An error occurred,An error occurred
Analytics,Analytics
Analytics description,"If you want to track analytics related to your collection visits, Uwazi supports both Google Analytics and Matomo."
AND OR NOT,AND OR NOT
Any entity,Any entity
Anyone can see this entity,Anyone can see this entity
Appearance,Appearance
Apply,Apply
Are you sure you want to continue?,Are you sure you want to continue?
Are you sure you want to delete,Are you sure you want to delete
"Are you sure you want to delete the selected visualizations? This action cannot be
              undone.","Are you sure you want to delete the selected visualizations? This action cannot be
              undone."
Are you sure you want to delete this attachment?,Are you sure you want to delete this attachment?
Are you sure you want to delete this connection?,Are you sure you want to delete this connection?
Are you sure you want to delete this entity?,Are you sure you want to delete this entity?
Are you sure you want to delete this file?,Are you sure you want to delete this file?
Are you sure you want to delete this item?,Are you sure you want to delete this item?
Are you sure you want to delete this relationship? This action cannot be undone.,Are you sure you want to delete this relationship? This action cannot be undone.
Are you sure you want to delete this visualization? This action cannot be undone.,Are you sure you want to delete this visualization? This action cannot be undone.
Are you sure?,Are you sure?
Ask Bert,Ask Bert
Attachment,Attachment
Attachment deleted,Attachment deleted
Attachment renamed,Attachment renamed
Attachment uploaded,Attachment uploaded
Attachments,첨부 파일
Authentication code,인증 코드
auto created,auto created
Auto-accept suggestions,Auto-accept suggestions
auto-created,자동 생성 완료
Automatic Table of Contents,자동 생성 목차
Automatically generated,자동 생성됨
Available default translation,Available default translation
Back,뒤로
Back to,이전으로
Back to details,Back to details
Back to search,검색으로
Bad Request,Bad Request
Basic,Basic
Bert,Bert
Bidirectional,Bidirectional
Body,바디
boolean,boolean
Browse files to upload,업로드할 파일 탐색
"by ids, methods, keywords, etc.","by ids, methods, keywords, etc."
Can edit,편집 가능
Can see,열람 가능
Can view,열람 가능
Cancel,취소
cancel csv import,Cancel the import process. This will stop the creation of new entities. Already created entities will not be affected
Canceling,Canceling
Canceling...,Canceling...
Cancelled,Cancelled
Cannot connect to server,Cannot connect to server
Cannot find extractor,Cannot find extractor
Captcha,보안 문자
Captcha bypass,"By toggling this on you can allow users to submit to your whitelisted templates without having to fill a CAPTCHA. 
The form will still present the captcha to end users, but API end-point will allow submissions without CAPTCHA validation if a 
header ""Bypass-Captcha: true"" is sent along. This option is insecure and can be leveraged to flood your instance with spam or 
malicious content."
Cards,카드
Cards view,카드 뷰
Category,Category
Change,Change
Change password,비밀번호 변경
Change Password,Change Password
Changes in the thesaurus will impact all the entities using these values.,Changes in the thesaurus will impact all the entities using these values.
Changing the type will erase all relationships to this entity.,Changing the type will erase all relationships to this entity.
Character support description,This option enhances support for non-Latin languages as the default languages of your collection.
Character support process warning,"This process could take several minutes and will likely change URLs to library filters. If you have menus or links using such URLs, they will probably stop working after the update. You will need to update them manually."
Character support revert warning,"After selecting this option, you will not be able to revert back to using legacy property naming. If you are not facing issues with your template property names, we recommend leaving this unchecked."
Chart,Chart
Chart options,Chart options
Chart theme,Chart theme
Chart type,Chart type
Chart type uses a custom view,Chart type uses a custom view
Check to make this instance public (non-logged in users can see public documents and entities),Check to make this instance public (non-logged in users can see public documents and entities)
Checking which images fit the requirements,Checking which images fit the requirements...
Choose,Choose
Choose relation type,Choose relation type
Choose which data to use for training,Choose which data to use for training
Chrome header,Chrome header
Clear,Clear
Clear all,Clear all
Clear All,Clear All
Clear all filters,Clear all filters
Clear coordinates,좌표 초기화
Clear Filters,필터 초기화
Clear PDF selection,Clear PDF selection
Clear search,Clear search
Click,Click
Click here,여기를 클릭하십시오
Click to fill,텍스트 자동 채우기
Close,닫기
Code,Code
Collaborator,협업자
Collaborators,Collaborators
Collapse all,Collapse all
Collapse All,Collapse All
Collection,컬렉션
Collection Name,Collection Name
Colors,Colors
Colors come from the server data layer. Preview shows assigned bucket colors when available.,Colors come from the server data layer. Preview shows assigned bucket colors when available.
Common sources,Common sources
Completed,Completed
Completed with errors,Completed with errors
Config,Config
Configuration,Configuration
Configure filters,필터 구성
Configure templates,Configure templates
Confirm,확인
CONFIRM,CONFIRM
Confirm action,Confirm action
Confirm delete connection,Confirm delete connection
Confirm delete multiple items,삭제 확인 - 여러 항목
Confirm deletion,삭제 확인
Confirm deletion of,Confirm deletion of
Confirm deletion of entity,Confirm deletion of entity
Confirm deletion of file,Confirm deletion of file
Confirm new password,새 비밀번호 확인
Confirm your password,Confirm your password
Connect to a paragraph,단락과 연결
Connect to an entity,Connect to an entity
Connect to entity,Connect to entity
Connected to server,Connected to server
Connection type,커넥션 유형
Contact email description,Here you can set up the contact email and the email that appears when Uwazi sends a notification to a user
Contact Form,연락처
Contact form email,Contact form email
Content translations,Content translations
Context,Context
Continue,Continue
Conversion failed,변환 실패
Copied,Copied
Copied to clipboard,Copied to clipboard
Copy,Copy
Copy From,외부 복사
Copy Highlighted,하이라이트 복사
Copy link,링크 복사
Copy properties to this entity from,이 엔티티의 속성 복사
Copy to clipboard,Copy to clipboard
Could not add media. Please try again.,Could not add media. Please try again.
Could not be processed,Could not be processed
Could not create entity,Could not create entity
Could not detect the area for the selected text,"Could not detect the area for the selected text, please try selecting again."
Could not reach server. Please try again later.,Could not reach server. Please try again later.
Count,Count
Create,생성
CREATE,생성
Create and edit thesauri,Create and edit thesauri
Create Connection,Create Connection
Create dictionaries,사전 만들기
Create entity,엔티티 생성
Create Entity,엔티티 생성
Create Extractor,Create Extractor
Create group,그룹 생성
Create new entities and upload documents,Create new entities and upload documents
Create new entity from selection,Create new entity from selection
Create Reference,Create Reference
Create relationship,Create relationship
Create relationship types,Create relationship types
Create relationships and references,Create relationships and references
Create table of contents,Create table of contents
Create visualization,Create visualization
Created,Created
Created entity,Created entity
Created entity coming from a public form,Created entity coming from a public form
Created page,Created page
Created relation type,Created relation type
Created relationship,Created relationship
Created template,Created template
Created thesaurus,Created thesaurus
Created user group,Created user group
Creating entities,Creating entities
Creating relationships,Creating relationships
Creating thesauri,Creating thesauri
CSS,CSS
csv blank state message,"Import CSV or ZIP files to create entities in bulk. Click ""New Import"" to get started."
CSV Import,CSV Import
CSV import cancelled,CSV import cancelled
CSV import completed,CSV import completed
CSV import failed,CSV import failed
CSV or ZIP up to 50MB,CSV or ZIP up to 50MB
Ctrl K,Ctrl K
Current Value/Suggestion,Current Value/Suggestion
"Custom colors are not available for this chart type. Use the chart palette or template
            colors instead.","Custom colors are not available for this chart type. Use the chart palette or template
            colors instead."
Custom component error,사용자 맞춤 구성 오류
Custom CSS,사용자 맞춤 CSS
Custom Favicon,Custom Favicon
Custom JS,Custom JS
Custom landing page,Custom landing page
custom page error warning,"There is an unexpected error on this custom page, it may not work properly. Please contact an admin for details."
Custom Uploads,사용자 맞춤 업로드
Customize,Customize
Customized,Customized
Dark,Dark
Dark Theme,Dark Theme
Dashboard,Dashboard
Data may be outdated.,Data may be outdated.
Data source,Data source
Data sources,Data sources
Data visualizations,Data visualizations
Data was updated recently. You can refresh again in a few seconds.,Data was updated recently. You can refresh again in a few seconds.
Date,Date
Date added,추가한 날짜
Date format,날짜 형식
Date modified,수정한 날짜
"Date or numeric × numeric enables scatter and heatmap. Line, area, and bar plot the
                measure over the primary dimension (e.g. max engine size per registration date).","Date or numeric × numeric enables scatter and heatmap. Line, area, and bar plot the
                measure over the primary dimension (e.g. max engine size per registration date)."
Day,일자
"Deep-merged onto the generated ECharts option. Use for fine-tuning options not exposed in
          the Chart tab.","Deep-merged onto the generated ECharts option. Use for fine-tuning options not exposed in
          the Chart tab."
Default,Default
Default date format,Default date format
Default filter,Default filter
Default language,Default language
Default language change success,기본 언어 변경 완료
Default template,기본 템플릿
Default template set successfully.,Default template set successfully.
Default View,Default View
Delete,삭제
DELETE,삭제
Delete entities and documents,Delete entities and documents
Delete file,Delete file
Delete language,언어 삭제
Delete relationship,Delete relationship
Delete relationships,Delete relationships
Delete?,Delete?
Deleted attachment,Deleted attachment
Deleted custom file,Deleted custom file
Deleted entity,Deleted entity
Deleted file,Deleted file
Deleted multiple entities,Deleted multiple entities
Deleted page,Deleted page
Deleted relation type,Deleted relation type
Deleted relationship,Deleted relationship
Deleted successfully.,Deleted successfully.
Deleted template,Deleted template
Deleted thesaurus,Deleted thesaurus
Deleted user,Deleted user
Deleted user group,Deleted user group
Deletion success,Deletion success
Description,설명
Deselect all,Deselect all
Direction,Direction
Disable,Disable
Disable highlights,Disable highlights
Disabled 2FA,Disabled 2FA
Discard and leave,Discard and leave
Discard and switch,Discard and switch
Discard changes,변경 취소
Discard changes?,Discard changes?
Dismiss,Dismiss
Display entity view from page,페이지에서 엔티티 뷰 표시
Do you want disable 2FA for the following users?,Do you want disable 2FA for the following users?
Do you want reset the password for the following users?,Do you want reset the password for the following users?
Do you want to delete the following items?,Do you want to delete the following items?
Document,문서
Document and entity types,문서 및 엔티티 유형
Document contents,문서 내용
Document OCR trigger,Document OCR trigger
Document Title,문서 제목
Documentation,기록
documents,문서
Documents,문서
documents.,문서
Done,Done
Done creating entities,Done creating entities
Done creating relationships,Done creating relationships
Done creating thesauri,Done creating thesauri
Done extracting files,Done extracting files
Done scanning,Done scanning
Download,다운로드
Download a third-party authenticator app from your mobile store.,Download a third-party authenticator app from your mobile store.
Download failed rows,Download failed rows
Draft restored from release.,Draft restored from release.
Drag and drop file in this window to upload,이 창에 파일을 드래그 앤 드롭해 업로드합니다.
Drag row,Drag row
Drop your files here to upload or,여기에 파일을 드롭해 업로드합니다.
Duplicate values not allowed.,Duplicate values not allowed.
Duplicated email,이메일 중복
Duplicated name,중복된 이름
Duplicated username,사용자 이름 중복
Duration,Duration
Each series uses the template brand color when comparing data sources.,Each series uses the template brand color when comparing data sources.
Earlier,Earlier
Edit,편집
Edit at source,Edit at source
Edit Extractor,Edit Extractor
Edit File,Edit File
Edit group,Edit group
Edit item,Edit item
Edit metadata of entities,Edit metadata of entities
Edit theme,Edit theme
Edit user,Edit user
Editor,편집자
editor,편집자
Editors,Editors
Email,이메일
Email address,이메일 주소
Email updated,이메일 업데이트 완료
Embed,Embed
Embed in pages,Embed in pages
Empty,Empty
Empty group. Drop here to add,Empty group. Drop here to add
empty property tip,You won't be able to save an entity if this property is empty.
Enable,Enable
Enable public embedding to use this chart in external sites on private instances.,Enable public embedding to use this chart in external sites on private instances.
Enable this page to be used as an entity view page:,엔티티 뷰 페이지가 필요할 경우 활성화하십시오.
Enter the 6-digit verification code generated by your Authenticator app,Enter the 6-digit verification code generated by your Authenticator app
"Enter the full username, email, or group name. Suggestions are not shown.","Enter the full username, email, or group name. Suggestions are not shown."
Enter your current password to confirm,Enter your current password to confirm
Entities,엔티티
entities,엔티티
Entities across all languages,Entities across all languages
Entities created,Entities created
Entities updated,Entities updated
entities · generated,entities · generated
Entity,엔티티
Entity creation stage completed.,Entity creation stage completed.
Entity deleted,Entity deleted
Entity Page,Entity Page
Entity saved,Entity saved
Entity type,Entity type
Entity types,엔티티 유형
Entity updated,Entity updated
Error,오류
Error adding thesauri.,Error adding thesauri.
Error deleting template(s),Error deleting template(s)
Error loading your image,Error loading your image
Error saving template.,Error saving template.
Error setting default template,Error setting default template
Error updating thesauri.,Error updating thesauri.
exact phrase,exact phrase
Expand all,Expand all
Expand All,Expand All
Export CSV,CSV 추출
Exporting entities to CSV,엔티티를 CSV 로 추출
Extension Token,Extension Token
External embed,External embed
Extract new paragraphs,Extract new paragraphs
Extract paragraphs,Extract paragraphs
Extracting files,Extracting files
Extracting files from uploaded package.,Extracting files from uploaded package.
Extraction configuration,Extraction configuration
Extractor Name,Extractor Name
Extractor name,Extractor name
Extractor/s deleted,Extractor/s deleted
Extractors,Extractors
Failed,Failed
Failed to save table of contents,Failed to save table of contents
Failure details,Failure details
Favicon description,"A favicon is a small icon that represents your collection in browser tabs and bookmarks. The default favicon is the Uwazi logo. To use your own:

1. Upload your icon in Custom Uploads if needed.
2. Click ""Select favicon image"" and pick a file (images from Custom Uploads only).
3. Reload the page to see your favicon in action."
Favicon no images hint,Favicon no images hint
FEATURED,선택 필터
File,파일
File deleted,File deleted
File details,File details
File extraction completed successfully.,File extraction completed successfully.
File name,File name
File preview unavailable,File preview unavailable
File updated,File updated
Files,Files
Files and database usage,Files and database usage
Fill,채우기
Filter,Filter
Filter unauthorized relationships,"By default, relationships pointing to restricted entities are visible to anonymous users but not linked. When enabled, these relationships are completely hidden, preventing public users from knowing restricted content exists."
Filters,필터
Filters AND operator,필터 AND 오퍼레이터
Filters configuration,필터 구성
Filters configuration description,"By default, users can filter the entities in the library based on the types you have defined. However, you can configure how these entity types will be displayed:"
Filters configuration example,필터 구성 예시
Filters OR operator,필터 OR 오퍼레이터
Filters saved,Filters saved
Find,찾기
Find suggestions,Find suggestions
Find suggestions after training,Find suggestions after training
Find suggestions for,Find suggestions for
Find suggestions for selected,Find suggestions for selected
Finding suggestions,Finding suggestions
Fit,맞추기
Flag,깃발
for,for
For all entities,For all entities
For entities with blank values,For entities with blank values
Forgot Password or Username?,Forgot Password or Username?
Forgot Password?,비밀번호를 잊으셨나요?
Forms and email configuration,양식 및 이메일 구성
From,From
From all suggestions,From all suggestions
From computer,From computer
From files,From files
From previous step,From previous step
From selection,From selection
From:,From:
Full mode,Full mode
Full width,Full width
General,일반
General access,General access
General Information,General Information
Generated ID,Generated ID
Global CSS,Global CSS
Global CSS & JS,Global CSS & JS
Global JS,Global JS
Google,Google
Google Analytics,구글 분석
Google Analytics ID,구글 분석 ID
Google Maps,Google Maps
Group,Group
Group by:,Group by:
group expressions,group expressions
Group Options,Group Options
Group saved,Group saved
Group updated,Group updated
Grouped geolocation properties,Grouped geolocation properties
Groups,그룹
Header and button preview,Header and button preview
Header bar active background,Header bar active background
Header bar background,Header bar background
Header bar divider,Header bar divider
Header bar hover background,Header bar hover background
Header bar text,Header bar text
help,도움말
here,here
"Hi, I'm Bert.","Hi, I'm Bert."
Hide,Hide
Hide actions,Hide actions
Hide details,Hide details
Hide label,라벨 숨기기
Hide restricted relationships from public,Hide restricted relationships from public
Hide toolbar,Hide toolbar
HTML,HTML
https://yourdomain,전체경로: https://yourdomain
hub,hub
hubs,허브
Hybrid,Hybrid
Icon,아이콘
ID,ID
ID:,ID:
"If an account exists with the email you provided, you will receive an email
                        with instructions to reset your password.","If an account exists with the email you provided, you will receive an email
                        with instructions to reset your password."
"If it is an external URL, use a fully formed URL. Ie. http://www.uwazi.io.",외부 URL 인 경우 전체 경로 (http://www. 부터 시작하는 전체 URL) 를 넣으십시오.
"If you want to continue, please type",계속하려면 다음을 입력하십시오:
Image doesn't match the required size.,Image doesn't match the required size.
Import,업로드
Import asset,Import asset
Import CSV,CSV 업로드
Import failed. Review details below.,Import failed. Review details below.
Import finished successfully.,Import finished successfully.
Import finished with errors. Review details below.,Import finished with errors. Review details below.
Import is currently processing rows.,Import is currently processing rows.
Import is retrying after an error.,Import is retrying after an error.
Import theme instance file,Import theme instance file
Import was cancelled.,Import was cancelled.
Imported translations from file,Imported translations from file
in,안
"In a group, either all relationships must have a hub or none of them.","In a group, either all relationships must have a hub or none of them."
In OCR queue,OCR 대기 중
in this document,in this document
Incoming,Incoming
Info,정보
Information extraction training,Information extraction training
Inherit,Inherit
Inherit property,속성 이어받기
Inherit type,Inherit type
"Inherited values are read-only. Change the connection above, or edit the source entity.","Inherited values are read-only. Change the connection above, or edit the source entity."
inherits,inherits
Input,Input
Install,Install
Install Language(s),Install Language(s)
Install the browser extension.,Install the browser extension.
Installing languages,Installing languages
"Instructions on how to achieve this will vary according to the app used, please refer to the app's documentation.","Instructions on how to achieve this will vary according to the app used, please refer to the app's documentation."
Instructions to reset password,"If the email address supplied is correct, we will send instructions to reset the password."
Instructions to reset the password were sent to the user,Instructions to reset the password were sent to the user
Invalid captcha,잘못된 보안문자
Invalid csv: all the values for a row must be either nested or non-nested,Invalid csv: all the values for a row must be either nested or non-nested
Invalid csv: nested value need to be under a non-nested value,Invalid csv: nested value need to be under a non-nested value
Invalid form,잘못된 형식
Invalid URL,Invalid URL
It could also very easily break the app. Only write code here if you know exactly what you are doing.,앱을 손상시킬 수 있습니다. 반드시 필요한 경우에만 코드를 입력하십시오.
it has been logged with request id #,it has been logged with request id #
Item,Item
Items:,아이템
Javascript,Javascript
key,Korean
Label,라벨
"Label date ""From""",~부터
"Label date ""to""",~까지
Labeled,Labeled
Landing page,랜딩 페이지
Landing page description,"The landing page is the first page that visitors see when they come to your collection. The default landing page is your collection's library. You can set a different landing page by adding its relative URL here. For example:
      
A page: */page/dicxg0oagy3xgr7ixef80k9*
A filtered view in Uwazi: */library/?searchTerm=test*
An entity: */entity/9htbkgpkyy7j5rk9*
A document: */document/4y9i99fadjp833di*
      
Important: You must use relative URLs. These start with a forward slash and do not include the domain name. For example: In the address *https://yoursite.com/landingpage*, the relative URL is /landingpage"
Language,언어
Language Code,Language Code
Language deleted,언어가 삭제되었습니다.
Language reset success,Language reset success
Language uninstalled successfully,Language uninstalled successfully
Language(s),Language(s)
Language:,Language:
Languages,언어
Languages installed successfully,Languages installed successfully
Last updated,Last updated
Last updated from collection:,Last updated from collection:
Latitude,위도
Latitude must be between -90 and 90,Latitude must be between -90 and 90
Learn more,더 알아보기
Legend,범례
Lengthy reindex process,Lengthy reindex process
Library,라이브러리
library list view,라이브러리 리스트 뷰
library map view,라이브러리 지도 뷰
library table view,라이브러리 테이블 뷰
Light,Light
Light Theme,Light Theme
Link,Link
linked,링크 완료
List renders as a table. Use the options below to filter empty or zero values.,List renders as a table. Use the options below to filter empty or zero values.
Live preview,Live preview
Live translate,Live translate
Load example,Load example
Loading,Loading
Login,로그인
Login button,로그인 버튼
Login failed,로그인 실패
Logout,로그아웃
Longitude,경도
Longitude must be between -180 and 180,Longitude must be between -180 and 180
Lookup help,Lookup help
Lost connection to the server. Your changes may be lost,Lost connection to the server. Your changes may be lost
low,낮게
Manage site settings and configuration,사이트 설정 및 구성 관리
Manual data,Manual data
Manually set a color,Manually set a color
Map,지도
Map api key,Map api key
Map API key,Map API key
Map api key tooltip,An API key is required to use Mapbox or Google Maps.
Map Layers,Map Layers
Map layers description,Map layers description
Map Provider,Map Provider
Map view,지도 뷰
Mapbox,Mapbox
Mapping conflict error,"A reindex of your collection is necessary. The reason may vary 
        -- from certain changes made to a template's property to new fields
        that need to be populated across entities. 
        This process will not negatively affect the data in your collection. 
        It can last a few minutes and some parts of your collection might take
        some time to reappear in the Library, but this is temporary. Do you want to continue?"
Maps,지도
Mark as Reviewed,검토 완료로 표시
Mark as reviewed,Mark as reviewed
Markdown,Markdown
"Markdown support in custom pages will be discontinued starting in 2027. Upgrade this page
          when its content no longer relies on Markdown syntax.","Markdown support in custom pages will be discontinued starting in 2027. Upgrade this page
          when its content no longer relies on Markdown syntax."
marked and labeled,marked and labeled
marked for training,marked for training
Marked for training + all labeled entries,Marked for training + all labeled entries
Marked for training only,Marked for training only
Match,Match
match verbatim,match verbatim
Matching,Matching
matching,matching
Matomo,Matomo
Members,멤버
Menu,메뉴
Message,메세지
Message sent,Message sent
Metadata,메타데이터
Metadata Extraction,메타데이터 추출
"Metric shows a single total count. Select Pie, Bar, or another chart type above to
            configure categories, labels, and slices. Use the Appearance tab for colors.","Metric shows a single total count. Select Pie, Bar, or another chart type above to
            configure categories, labels, and slices. Use the Appearance tab for colors."
MIGRATE,MIGRATE
Minimum,최소
Mismatch,Mismatch
mismatched passwords,Passwords don't match
mismatching,mismatching
Mixed access,혼합 접근
ML TOC,ML TOC
Modified,Modified
Month,월
Months,Months
More,More
more options.,옵션 더보기
Multi-source mode,Multi-source mode
Multiple date,Multiple date
Multiple date range,Multiple date range
Multiple inherited properties warning ([property 1] affects [property 2]),영향
Multiple relationships edit description,Making changes to this property will affect other properties on this template because they all share relationships with the same configuration.
Multiple select,Multiple select
Name,이름
Name is required,이름이 필요합니다.
Name is too long,이름이 너무 깁니다.
Name is too short,이름이 너무 짧습니다.
Narrow down your searches,검색을 세부화하십시오.
"Narrow entities before aggregation. With multiple sources, pick the property under the
        source alias so each filter applies only to that series.","Narrow entities before aggregation. With multiple sources, pick the property under the
        source alias so each filter applies only to that series."
Narrow your search,상세 검색
Navigate back,Navigate back
Navigation menu tool tip part 1,"If it is an internal URL within this website, be sure to delete the first part"
Navigation menu tool tip part 2,leaving only a relative URL starting with a slash character. Ie. /some_url.
New,New
New activity will show up here.,New activity will show up here.
New conversation,New conversation
New entity,새 엔티티
New group,New group
New language added,새로운 언어가 추가되었습니다.
New page,New page
New password,새 비밀번호
New relationship type,New relationship type
New relationships group,새로운 관계 그룹
New Relationships Migration,New Relationships Migration
New user,New user
Next,다음
No,아니오
No attachments,첨부파일 없음
No chart types match your search.,No chart types match your search.
No common filters,공통 필터 없음
No connected entities yet.,No connected entities yet.
No Connections,커넥션 없음
No Connections description,Connections are the direct relationships between this document and other documents and entities.
No context,No context
No CSVs yet,No CSVs yet
No data,No data
NO DATA AVAILABLE,NO DATA AVAILABLE
NO EXTRACTORS,NO EXTRACTORS
No files available,No files available
no filters for templates,The combination of entity types doesn't have any filters in common.
No Group,No Group
No icon / flag,아이콘/플래그 없음
No items available,No items available
No Label,라벨 없음
No label,No label
No matching entities.,No matching entities.
No media selected,No media selected
No options,No options
No options found,검색된 옵션 없음
No page,No page
No people or groups added yet,No people or groups added yet
No property,속성 없음
No References,참고문헌 없음
No References description,References are parts of this document related with other documents and entities.
No Relationships,관계 없음
No Relationships description,Relationships are bonds between entities.
No relationships found,No relationships found
No relationships to graph,No relationships to graph
No releases yet,No releases yet
No results found,No results found
No table of contents,목차 없음
No Table of contents,No Table of contents
No table of contents description,목차 설명 없음
No templates available to add.,No templates available to add.
No text match,일치하는 텍스트 없음
No text match description,You can type something different in the search box to get some results.
No timelinks added,No timelinks added
No translation in,No translation in
No type,유형 없음
No uploaded images fit the requirements,No uploaded images match these size requirements. Upload a new image or use an editor to resize an existing file.
No user or group found,No user or group found
No valid target template available,No valid target template available
No value,값 없음
No Value,값 없음
No visualization data available.,No visualization data available.
"No, cancel","No, cancel"
Non processed,Non processed
Non-labeled,Non-labeled
Non-latin characters support,Non-latin characters support
None,None
Normal view,일반 뷰
Not already been use as source template in another extractor,Not already been use as source template in another extractor
Not already been use as target template,Not already been use as target template
Not Found,Not Found
Nothing here yet.,Nothing here yet.
Nothing selected,Nothing selected
Notifications,Notifications
Obsolete,Obsolete
obsolete,obsolete
OCR,OCR (광학 문자 인식)
OCR button tip,This will process the document to recognize it's text. The original file will be added as a supporting file.
OCR completed,OCR 완료
OCR description tip 1,"This will enable the Optical Character Recognition (OCR) functionality for PDF documents. This service will recognize text inside images, such as scanned documents and photos, and convert it into machine-readable text data."
OCR description tip 2,"When activated, this will enable administrator and editor users to send PDF documents to the OCR service."
OCR error,OCR 에러
OCR error tip,The OCR engine couldn't read the document due to a malformed format. Last updated
OCR PDF,PDF OCR 읽기
of,의
Ok,확인
OK,확인
one character,one character
Only properties with the same name and configuration in every data source are available.,Only properties with the same name and configuration in every data source are available.
"Only templates that are not used as source in any other extractor and are not
                selected as target in this extractor are available for selection.","Only templates that are not used as source in any other extractor and are not
                selected as target in this extractor are available for selection."
"Only templates with at least one rich text property and one numeric property are
                available for selection.","Only templates with at least one rich text property and one numeric property are
                available for selection."
"Only the extractor will be deleted, all created entities will remain on the library.","Only the extractor will be deleted, all created entities will remain on the library."
Open,Open
Open entity,Open entity
Open group,Open group
Open link,Open link
Open PDF,Open PDF
Open the two-factor Authenticator app on your device,기기에서 Authenticator 앱을 여십시오.
Options,Options
or,or
or drop your files here.,혹은 여기에 파일을 드롭하십시오.
Order,순서
Other,기타
other,기타
Other users will be affected by this action!,Other users will be affected by this action!
Others,Others
Outgoing,Outgoing
p.,p.
Page,페이지
Page not found,Page not found
Page published successfully.,Page published successfully.
Pages,페이지
Paragrap number extraction property (numeric),Paragrap number extraction property (numeric)
Paragraph,Paragraph
Paragraph Extraction,Paragraph Extraction
Paragraph Extractor added,Paragraph Extractor added
Paragraph text extraction property (rich text),Paragraph text extraction property (rich text)
Paragraphs,Paragraphs
Paragraphs deleted,Paragraphs deleted
parties,parties
Password,비밀번호
Password + 2fa,Password + 2fa
Password changed success,Password changed success
Password Error,암호 오류
Password is too long,암호가 너무 깁니다.
Password updated,암호 업데이트 완료
Passwords do not match,Passwords do not match
Paste this tag in a page HTML. The chart uses the page language.,Paste this tag in a page HTML. The chart uses the page language.
Paste URL,Paste URL
Paste URL here,Paste URL here
PDF,PDF
Pending,Pending
People and groups,People and groups
per page,per page
Permission,권한
Permission level,Permission level
