Key,Thai
CSV or ZIP up to 50MB,CSV or ZIP up to 50MB
Current Value/Suggestion,Current Value/Suggestion
Custom component error,เกิดข้อผิดพลาดในส่วนประกอบที่สร้างเอง
Custom CSS,CSS ที่กำหนดเอง
Custom Favicon,Custom Favicon
Custom JS,Custom JS
Custom landing page,Custom landing page
custom page error warning,"There is an unexpected error on this custom page, it may not work properly. Please contact an admin for details."
Custom Uploads,อัปโหลดแบบกำหนดค่าเอง
Customize,Customize
Customized,Customized
Dark,Dark
Dark Theme,Dark Theme
Dashboard,Dashboard
Date,Date
Date added,เพิ่ม ณ วันที่
Date format,รูปแบบวันที่
Date modified,แก้ไข ณ วันที่
Day,วัน
Default,Default
Default date format,Default date format
Default filter,Default filter
Default language,Default language
Default language change success,เปลี่ยนภาษาเริ่มต้น สำเร็จ
Default template,เทมเพลตเริ่มต้น
Default template set successfully.,Default template set successfully.
Default View,Default View
Delete,ลบ
DELETE,ลบ
Delete entities and documents,Delete entities and documents
Delete file,Delete file
Delete language,ลบภาษา
Delete reference,Delete reference
Delete?,Delete?
Deleted attachment,Deleted attachment
Deleted custom file,Deleted custom file
Deleted entity,Deleted entity
Deleted file,Deleted file
Deleted multiple entities,Deleted multiple entities
Deleted page,Deleted page
Deleted relation type,Deleted relation type
Deleted relationship,Deleted relationship
Deleted successfully.,Deleted successfully.
Deleted template,Deleted template
Deleted thesaurus,Deleted thesaurus
Deleted user,Deleted user
Deleted user group,Deleted user group
Deletion success,Deletion success
Description,คำอธิบาย
Disable,Disable
Disable highlights,Disable highlights
Disabled 2FA,Disabled 2FA
Discard changes,ยกเลิกการเปลี่ยนแปลง
Discard changes?,Discard changes?
Dismiss,Dismiss
Display entity view from page,แสดงมุมมองรายการจากหน้า
Do you want disable 2FA for the following users?,Do you want disable 2FA for the following users?
Do you want reset the password for the following users?,Do you want reset the password for the following users?
Do you want to delete the following items?,Do you want to delete the following items?
Document,เอกสาร
Document and entity types,ประเภทเอกสารและรายการ
Document contents,เนื้อหาของเอกสาร
Document OCR trigger,Document OCR trigger
Document Title,ชื่อเอกสาร
Documentation,เอกสาร
documents,เอกสาร
Documents,เอกสาร
documents.,เอกสาร.
Done,Done
Done creating entities,Done creating entities
Done creating relationships,Done creating relationships
Done creating thesauri,Done creating thesauri
Done extracting files,Done extracting files
Done scanning,Done scanning
Download,ดาวน์โหลด
Download a third-party authenticator app from your mobile store.,Download a third-party authenticator app from your mobile store.
Download failed rows,Download failed rows
Drag and drop file in this window to upload,นำไฟล์มาวางในหน้าต่างนี้เพื่ออัปโหลด
Drag row,Drag row
Drop your files here to upload or,นำไฟล์มาวางที่นี่เพื่ออัปโหลด หรือ
Duplicate values not allowed.,Duplicate values not allowed.
Duplicated email,อีเมลที่ซ้ำกัน
Duplicated name,ชื่อที่ซ้ำกัน
Duplicated username,ชื่อผู้ใช้ที่ซ้ำกัน
Duration,Duration
Edit,แก้ไข
Edit Extractor,Edit Extractor
Edit File,Edit File
Edit group,Edit group
Edit item,Edit item
Edit metadata of entities,Edit metadata of entities
Edit theme,Edit theme
Edit user,Edit user
Editor,บรรณาธิการ
editor,บรรณาธิการ
Editors,Editors
Email,อีเมล
Email address,ที่อยู่อีเมล
Email updated,อัปเดตอีเมล
Empty,Empty
Empty group. Drop here to add,Empty group. Drop here to add
empty property tip,You won't be able to save an entity if this property is empty.
Enable,Enable
Enable this page to be used as an entity view page:,เปิดหน้านี้เพื่อใช้เป็นหน้ามุมมองรายการ
Enter the 6-digit verification code generated by your Authenticator app,Enter the 6-digit verification code generated by your Authenticator app
Enter your current password to confirm,Enter your current password to confirm
Entities,รายการ
entities,รายการ
Entities across all languages,Entities across all languages
Entities created,Entities created
Entity,รายการ
Entity creation stage completed.,Entity creation stage completed.
Entity deleted,Entity deleted
Entity Page,Entity Page
Entity saved,Entity saved
Entity types,ประเภทรายการ
Entity updated,Entity updated
Error,ข้อผิดพลาด
Error adding thesauri.,Error adding thesauri.
Error deleting template(s),Error deleting template(s)
Error loading your image,Error loading your image
Error saving template.,Error saving template.
Error setting default template,Error setting default template
Error updating thesauri.,Error updating thesauri.
Expand all,Expand all
Expand All,Expand All
Export CSV,โหลดเป็น CSV
Exporting entities to CSV,โหลดรายการเป็น CSV
Extension Token,Extension Token
Extract new paragraphs,Extract new paragraphs
Extract paragraphs,Extract paragraphs
Extracting files,Extracting files
Extracting files from uploaded package.,Extracting files from uploaded package.
Extraction configuration,Extraction configuration
Extractor Name,Extractor Name
Extractor name,Extractor name
Extractor/s deleted,Extractor/s deleted
Extractors,Extractors
Failed,Failed
Failed jobs,Failed jobs
Failed to save table of contents,Failed to save table of contents
Failure details,Failure details
Favicon description,"A favicon is a small icon that represents your collection in browser tabs and bookmarks. The default favicon is the Uwazi logo. To use your own:

1. Upload your icon in Custom Uploads if needed.
2. Click ""Select favicon image"" and pick a file (images from Custom Uploads only).
3. Reload the page to see your favicon in action."
Favicon no images hint,Favicon no images hint
FEATURED,FEATURED
File,ไฟล์
File deleted,File deleted
File extraction completed successfully.,File extraction completed successfully.
File name,File name
File updated,File updated
Files,Files
Files and database usage,Files and database usage
Fill,ใส่ค่า
Filter unauthorized relationships,"By default, relationships pointing to restricted entities are visible to anonymous users but not linked. When enabled, these relationships are completely hidden, preventing public users from knowing restricted content exists."
Filters,ตัวกรอง
Filters AND operator,ตัวกรอง ประเภท และ
Filters configuration,การกำหนดค่าตัวกรอง
Filters configuration description,"By default, users can filter the entities in the library based on the types you have defined. However, you can configure how these entity types will be displayed:"
Filters configuration example,ตัวอย่างการกำหนดค่าตัวกรอง
Filters OR operator,ตัวกรอง ประเภท หรือ
Filters saved,Filters saved
Find,หา
Find suggestions,Find suggestions
Find suggestions after training,Find suggestions after training
Find suggestions for,Find suggestions for
Find suggestions for selected,Find suggestions for selected
Finding suggestions,Finding suggestions
Fit,พอดี
Flag,แฟล็ก
for,for
For all entities,For all entities
For entities with blank values,For entities with blank values
Forgot Password or Username?,Forgot Password or Username?
Forgot Password?,ลืมรหัสผ่าน?
Forms and email configuration,การตั้งค่าแบบฟอร์มและอีเมล
From,From
From all suggestions,From all suggestions
From previous step,From previous step
Full mode,Full mode
Full width,Full width
General,ข้อมูลทั่วไป
General Information,General Information
Generated ID,Generated ID
Global CSS,CSS ทั้งหมด
Global CSS & JS,Global CSS & JS
Global JS,Global JS
Google,Google
Google Analytics,Google Analytics
Google Analytics ID,ไอดี Google Analytics
Google Maps,Google Maps
Group,Group
Group Options,Group Options
Group saved,Group saved
Group updated,Group updated
Grouped geolocation properties,Grouped geolocation properties
Groups,กลุ่ม
Header and button preview,Header and button preview
Header bar active background,Header bar active background
Header bar background,Header bar background
Header bar divider,Header bar divider
Header bar hover background,Header bar hover background
Header bar text,Header bar text
help,ช่วยเหลือ
here,here
Hide,Hide
Hide actions,Hide actions
Hide label,Hide label
Hide restricted relationships from public,Hide restricted relationships from public
Hide toolbar,Hide toolbar
https://yourdomain,https: // yourdomain
hubs,ฮับ
Hybrid,Hybrid
Icon,ไอคอน
ID,ID
ID:,ID:
"If an account exists with the email you provided, you will receive an email
                        with instructions to reset your password.","If an account exists with the email you provided, you will receive an email
                        with instructions to reset your password."
"If it is an external URL, use a fully formed URL. Ie. http://www.uwazi.io.",หากเป็น URL จากภายนอก กรุณาใช้ URL แบบเต็มเช่น http://www.uwazi.io
"If you want to continue, please type",ถ้าคุณต้องการดำเนินการต่อ กรุณาพิมพ์
Image doesn't match the required size.,Image doesn't match the required size.
Import,นำเข้า
Import asset,Import asset
Import completed,Import completed. Number of entities created:
Import CSV,นำเข้า CSV
Import failed. Review details below.,Import failed. Review details below.
Import finished successfully.,Import finished successfully.
Import instructions,คำแนะนำการนำเข้าข้อมูล
Import is currently processing rows.,Import is currently processing rows.
Import is retrying after an error.,Import is retrying after an error.
Import theme instance file,Import theme instance file
Import was cancelled.,Import was cancelled.
Imported entities from file,Imported entities from file
Imported translations from file,Imported translations from file
Importing data in progress,การนำเข้าข้อมูลที่กำลังดำเนินอยู่
in,ใน
"In a group, either all relationships must have a hub or none of them.","In a group, either all relationships must have a hub or none of them."
In OCR queue,In OCR queue
Indexing entities may take a few minutes,การจัดทำดัชนีรายการอาจใช้เวลาสักครู่
Info,ข้อมูล
Information extraction training,Information extraction training
Inherit,Inherit
Inherit property,ก็อปปี้คุณสมบัตินี้
Inherit type,Inherit type
Input,Input
Install,Install
Install Language(s),Install Language(s)
Install the browser extension.,Install the browser extension.
Installing languages,Installing languages
"Instructions on how to achieve this will vary according to the app used, please refer to the app's documentation.","Instructions on how to achieve this will vary according to the app used, please refer to the app's documentation."
Instructions to reset password,"If the email address supplied is correct, we will send instructions to reset the password."
Instructions to reset the password were sent to the user,Instructions to reset the password were sent to the user
Invalid captcha,captcha ไม่ถูกต้อง
Invalid csv: all the values for a row must be either nested or non-nested,Invalid csv: all the values for a row must be either nested or non-nested
Invalid csv: nested value need to be under a non-nested value,Invalid csv: nested value need to be under a non-nested value
Invalid form,แบบฟอร์มไม่ถูกต้อง
It could also very easily break the app. Only write code here if you know exactly what you are doing.,มันอาจจะทำให้แอปใช้ไม่ได้ เขียนโค้ดที่นี่ในกรณีที่คุณเข้าใจสิ่งที่คุณทำเท่านั้น
it has been logged with request id #,it has been logged with request id #
Item,Item
Items:,รายการ:
Javascript,Javascript
key,Thai
Label,ประเภท
"Label date ""From""","ลาเบลวันที่ ""ตั้งแต่"""
"Label date ""to""","ลาเบลวันที่ ""ถึง"""
Labeled,Labeled
Landing page,หน้าแลนดิ้งเพจ
Landing page description,"The landing page is the first page that visitors see when they come to your collection. The default landing page is your collection's library. You can set a different landing page by adding its relative URL here. For example:
      
A page: */page/dicxg0oagy3xgr7ixef80k9*
A filtered view in Uwazi: */library/?searchTerm=test*
An entity: */entity/9htbkgpkyy7j5rk9*
A document: */document/4y9i99fadjp833di*
      
Important: You must use relative URLs. These start with a forward slash and do not include the domain name. For example: In the address *https://yoursite.com/landingpage*, the relative URL is /landingpage"
Language,ภาษา
Language Code,Language Code
Language deleted,ลบภาษาแล้ว
Language reset success,Language reset success
Language uninstalled successfully,Language uninstalled successfully
Language(s),Language(s)
Language:,Language:
Languages,ภาษา
Languages installed successfully,Languages installed successfully
Last updated,Last updated
Latitude,พิกัดละติจูด
Learn more,เรียนรู้เพิ่มเติม
Legend,กลุ่ม
Lengthy reindex process,Lengthy reindex process
Library,ไลบรารี่
library list view,มุมมองรายการไลบรารี
library map view,มุมมองแผนที่ไลบรารี
library table view,มุมมองตารางไลบรารี
Light,Light
Light Theme,Light Theme
Link,Link
linked,เชื่อมโยงแล้ว
Live preview,Live preview
Live translate,Live translate
Loading,Loading
Login,เข้าสู่ระบบ
Login button,กดเพื่อเข้าสู่ระบบ
Login failed,การเข้าสู่ระบบล้มเหลว
Logout,ออกจากระบบ
Longitude,พิกัดลองจิจูด
Lost connection to the server. Your changes may be lost,Lost connection to the server. Your changes may be lost
low,ต่ำ
Manage site settings and configuration,จัดการการตั้งค่าไซต์และการกำหนดค่า
Manually set a color,Manually set a color
Map,แผนที่
Map api key,Map api key
Map API key,Map API key
Map api key tooltip,An API key is required to use Mapbox or Google Maps.
Map Layers,Map Layers
Map layers description,Map layers description
Map Provider,Map Provider
Map view,มุมมองแผนที่
Mapbox,Mapbox
Mapping conflict error,"A reindex of your collection is necessary. The reason may vary 
        -- from certain changes made to a template's property to new fields
        that need to be populated across entities. 
        This process will not negatively affect the data in your collection. 
        It can last a few minutes and some parts of your collection might take
        some time to reappear in the Library, but this is temporary. Do you want to continue?"
Maps,แผนที่
Mark as Reviewed,ได้ตรวจสอบแล้ว
Mark as reviewed,Mark as reviewed
Markdown,การทำเครื่องหมาย
marked and labeled,marked and labeled
marked for training,marked for training
Marked for training + all labeled entries,Marked for training + all labeled entries
Marked for training only,Marked for training only
Match,Match
Matching,Matching
matching,matching
Matomo,Matomo
Members,สมาชิก
Menu,เมนู
Message,ข้อความ
Message sent,Message sent
Metadata,เมทาดาทา
Metadata Extraction,ค้นหาเมตาดาต้า
MIGRATE,MIGRATE
Minimum,ขั้นต่ำ
Mismatch,Mismatch
mismatched passwords,Passwords don't match
mismatching,mismatching
Mixed access,การเข้าถึงแบบผสม
ML TOC,ML TOC
Month,เดือน
Months,Months
more options.,ตัวเลือกเพิ่มเติม
Multiple date,Multiple date
Multiple date range,Multiple date range
Multiple inherited properties warning ([property 1] affects [property 2]),affects
Multiple relationships edit description,Making changes to this property will affect other properties on this template because they all share relationships with the same configuration.
Multiple select,Multiple select
Name,ชื่อ
Name is required,จำเป็นต้องใส่ชื่อ
Name is too long,ชื่อยาวเกินไป
Name is too short,ชื่อสั้นเกินไป
Narrow down your searches,จำกัด การค้นหาของคุณให้แคบลง
Narrow your search,จำกัด การค้นหาของคุณ
Navigate back,Navigate back
Navigation menu tool tip part 1,"If it is an internal URL within this website, be sure to delete the first part"
Navigation menu tool tip part 2,leaving only a relative URL starting with a slash character. Ie. /some_url.
New,New
New entity,รายการใหม่
New group,New group
New language added,ภาษาใหม่ถูกเพิ่มแล้ว
New page,New page
New password,รหัสผ่านใหม่
New relationship type,New relationship type
New relationships group,กลุ่มความสัมพันธ์ใหม่
New Relationships Migration,New Relationships Migration
New user,New user
Next,ต่อไป
No,เลขที่
No attachments,ไม่พบสิ่งที่แนบมา
No common filters,ไม่มีฟิลเตอร์สามัญ
No Connections,ไม่มีการเชื่อมต่อ
No Connections description,Connections are the direct relationships between this document and other documents and entities.
No context,No context
No CSVs yet,No CSVs yet
NO DATA AVAILABLE,NO DATA AVAILABLE
NO EXTRACTORS,NO EXTRACTORS
No files available,No files available
no filters for templates,The combination of entity types doesn't have any filters in common.
No Group,No Group
No icon / flag,ไม่พบ ไอค่อน / สิ่งที่ถูกคั่นหน้า
No items available,No items available
No Label,ไม่มีลาเบล
No label,No label
No notifications or active tasks.,No notifications or active tasks.
No options,No options
No options found,ไม่พบตัวเลือก
No property,ไม่เจอพร๊อพเพอร์ตี้
No References,ไม่มีการอ้างอิง
No References description,References are parts of this document related with other documents and entities.
No relationship types available,No relationship types available
No Relationships,ไม่มีความสัมพันธ์
No Relationships description,Relationships are bonds between entities.
No results found,No results found
No table of contents,ไม่มีสารบัญ
No Table of contents,No Table of contents
No table of contents description,ไม่มีคำอธิบายสารบัญ
No text match,ไม่มีการจับคู่ข้อความ
No text match description,You can type something different in the search box to get some results.
No type,ไม่มีประเภท
No uploaded images fit the requirements,No uploaded images match these size requirements. Upload a new image or use an editor to resize an existing file.
No valid target template available,No valid target template available
No value,ไม่มีค่า
No Value,ไม่มีค่า
"No, cancel","No, cancel"
Non processed,Non processed
Non-labeled,Non-labeled
Non-latin characters support,Non-latin characters support
Normal view,มุมมองปกติ
Not already been use as source template in another extractor,Not already been use as source template in another extractor
Not already been use as target template,Not already been use as target template
Not Found,Not Found
Nothing selected,Nothing selected
Notifications,Notifications
Obsolete,Obsolete
obsolete,obsolete
OCR,OCR
OCR button tip,This will process the document to recognize it's text. The original file will be added as a supporting file.
OCR completed,OCR completed
OCR description tip 1,"This will enable the Optical Character Recognition (OCR) functionality for PDF documents. This service will recognize text inside images, such as scanned documents and photos, and convert it into machine-readable text data."
OCR description tip 2,"When activated, this will enable administrator and editor users to send PDF documents to the OCR service."
OCR error,OCR error
OCR error tip,The OCR engine couldn't read the document due to a malformed format. Last updated
OCR PDF,OCR PDF
of,ของ
Ok,ตกลง
OK,ตกลง
"Only templates that are not used as source in any other extractor and are not
                selected as target in this extractor are available for selection.","Only templates that are not used as source in any other extractor and are not
                selected as target in this extractor are available for selection."
"Only templates with at least one rich text property and one numeric property are
                available for selection.","Only templates with at least one rich text property and one numeric property are
                available for selection."
"Only the extractor will be deleted, all created entities will remain on the library.","Only the extractor will be deleted, all created entities will remain on the library."
Open,Open
Open group,Open group
Open PDF,Open PDF
Open the two-factor Authenticator app on your device,กรุณาเปิดแอป Authenticator สำหรับยืนยันรหัสสองทาง บนอุปกรณ์ของคุณ
Options,Options
or,หรือ
or drop your files here.,หรือวางไฟล์ของคุณที่นี่
Order,คำสั่ง
Other,อื่น
other,อื่น
Other users will be affected by this action!,Other users will be affected by this action!
Others,Others
Page,หน้า
Page not found,Page not found
Pages,หน้า
Paragrap number extraction property (numeric),Paragrap number extraction property (numeric)
Paragraph,Paragraph
Paragraph Extraction,Paragraph Extraction
Paragraph Extractor added,Paragraph Extractor added
Paragraph text extraction property (rich text),Paragraph text extraction property (rich text)
Paragraphs,Paragraphs
Paragraphs deleted,Paragraphs deleted
Password,รหัสผ่าน
Password + 2fa,Password + 2fa
Password changed success,Password changed success
Password Error,รหัสผ่านผิดพลาด
Password is too long,รหัสผ่านยาวเกินไป
Password updated,รหัสผ่านอัปเดตแล้ว
Passwords do not match,Passwords do not match
Paste URL here,Paste URL here
PDF,PDF
Pending,Pending
per page,per page
Permission,สิทธิการเข้าถึง
Permission on entities explicitly shared with the user,สิทธิการเข้าถึงบนรายการถูกแชร์ให้ผู้ใช้แล้ว
Permissions,สิทธิการเข้าถึง
Pick a color,Pick a color
Plain text,ข้อความธรรมดา
Please contact an admin for details.,กรุณาติดต่อผู้ดูแลระบบเพื่อดูรายละเอียดเพิ่มเติม
Please type in,Please type in
Please type in letters and numbers from the image to start the export.,กรุณาพิมพ์ตัวอักษรและตัวเลขจากภาพเพื่อเริ่มการส่งออก
Preflight scan completed.,Preflight scan completed.
Preparing required relationships.,Preparing required relationships.
Preparing required thesauri values.,Preparing required thesauri values.
Preserve,Preserve
Preserve Extension,Preserve Extension
Preserve Setup Description,"If you know your Uwazi URL and TOKEN click the link below, and fill the required information."
Press enter to add,กด Enter เพื่อเพิ่ม
Preview,ดูตัวอย่าง
Previous,ก่อนหน้า
Primary button,Primary button
Primary Documents,เอกสารหลัก
Priority sorting,เรียงลำดับตามลำดับความสำคัญ
Priority sorting description,"Properties marked as priority sorting will be used as default sorting criteria. If more than one property is marked as priority sorting the system will try to pick-up the best fit. When listing mixed template types, the system will pick-up the best combined priority sorting."
Private entities description,Caution: the selected entities will be **private**. Only allowed users will be able to see them.
Private instance,อินสแตนซ์ส่วนตัว
Process,Process
Process extractor,Process extractor
Process selected,Process selected
Processed,Processed
Processed rows,Processed rows
Processing,กำลังประมวลผล
Progress,Progress
Properties,คุณสมบัติ
Properties from other templates in the collection using the same label,คุณสมบัติจากเทมเพลตอื่นๆในคอลเลกชันที่อยู่ในประเภทเดียวกัน
Properties from other templates in the collection using the same label.,Properties from other templates in the collection using the same label.
"Properties marked as priority sorting will be used as default sorting criteria. If more than one property is marked as priority sorting the system will try to pick-up the best fit. When listing mixed template types, the system will pick-up the best combined priority sorting.","Properties marked as priority sorting will be used as default sorting criteria. If more than one property is marked as priority sorting the system will try to pick-up the best fit. When listing mixed template types, the system will pick-up the best combined priority sorting."
Property,Property
