Key,Arabic
Advanced colors,Advanced colors
Advanced ECharts overrides,Advanced ECharts overrides
ALL,ALL
All,All
"All changes will be lost, are you sure you want to proceed?",ستحذف جميع التغييرات، هل أنت متأكد أنك تريد المتابعة؟
All data,All data
All editing options will be disabled.,All editing options will be disabled.
All of the paragraphs will be deleted,All of the paragraphs will be deleted
All of the previously created paragraphs will be deleted and recreated after the process.,All of the previously created paragraphs will be deleted and recreated after the process.
Allow captcha bypass,Allow captcha bypass
Allow public embedding without login,Allow public embedding without login
Already exists,Already exists
Amount,Amount
An error has occured while deleting a language:,An error has occured while deleting a language:
An error has occured while installing languages:,An error has occured while installing languages:
An error has occurred,An error has occurred
An error has occurred during data export,An error has occurred during data export
An error has occurred while installing languages:,An error has occurred while installing languages:
An error has occurred while uninstalling a language:,An error has occurred while uninstalling a language:
An error occurred,An error occurred
Analytics,Analytics
Analytics description,"If you want to track analytics related to your collection visits, Uwazi supports both Google Analytics and Matomo."
AND OR NOT,AND OR NOT
Any entity,Any entity
Anyone can see this entity,Anyone can see this entity
Appearance,Appearance
Apply,Apply
Are you sure you want to continue?,Are you sure you want to continue?
Are you sure you want to delete,Are you sure you want to delete
"Are you sure you want to delete the selected visualizations? This action cannot be
              undone.","Are you sure you want to delete the selected visualizations? This action cannot be
              undone."
Are you sure you want to delete this attachment?,Are you sure you want to delete this attachment?
Are you sure you want to delete this connection?,Are you sure you want to delete this connection?
Are you sure you want to delete this entity?,Are you sure you want to delete this entity?
Are you sure you want to delete this file?,Are you sure you want to delete this file?
Are you sure you want to delete this item?,Are you sure you want to delete this item?
Are you sure you want to delete this relationship? This action cannot be undone.,Are you sure you want to delete this relationship? This action cannot be undone.
Are you sure you want to delete this visualization? This action cannot be undone.,Are you sure you want to delete this visualization? This action cannot be undone.
Are you sure?,Are you sure?
Ask Bert,Ask Bert
Attachment,Attachment
Attachment deleted,Attachment deleted
Attachment renamed,Attachment renamed
Attachment uploaded,Attachment uploaded
Attachments,المرفقات
Authentication code,رمز المصادقة
auto created,auto created
Auto-accept suggestions,Auto-accept suggestions
auto-created,منشأ تلقائياً
Automatic Table of Contents,جدول محتويات تلقائي
Automatically generated,منشأ تلقائياً
Available default translation,Available default translation
Back,عودة
Back to,العودة إلى
Back to details,Back to details
Back to search,العودة إلى البحث
Bad Request,Bad Request
Basic,Basic
Bert,Bert
Bidirectional,Bidirectional
Body,يجب الاطلاع على السياق لتحديد الترجمة الأنسب
boolean,boolean
Browse files to upload,تصفح الملفات المراد تحميلها
"by ids, methods, keywords, etc.","by ids, methods, keywords, etc."
Can edit,إمكانية التحرير
Can see,إمكانية الرؤية
Can view,إمكانية المعاينة
Cancel,الغاء
cancel csv import,Cancel the import process. This will stop the creation of new entities. Already created entities will not be affected
Canceling,Canceling
Canceling...,Canceling...
Cancelled,Cancelled
Cannot connect to server,Cannot connect to server
Cannot find extractor,Cannot find extractor
Captcha,حروف التحقق
Captcha bypass,تخطى كلمة التحقق (Captcha)
Cards,بطاقات
Cards view,معاينة البطاقات
Category,Category
Change,Change
Change password,تغيير كلمة المرور
Change Password,Change Password
Changes in the thesaurus will impact all the entities using these values.,Changes in the thesaurus will impact all the entities using these values.
Changing the type will erase all relationships to this entity.,Changing the type will erase all relationships to this entity.
Character support description,"This option enhances support for non-Latin languages as the default languages of your collection.
Selecting this option will update all template properties automatically. The process could take several minutes. Selecting this option will likely change the URLs of library filters. As a consequence, if you have menus or links using such URLs, they will probably stop working.
You will need to update them manually. After selecting this option, you will not be able to revert back to using legacy property naming. If you are not facing issues with your template property names, we recommend leaving this unchecked."
Character support process warning,"This process could take several minutes and will likely change URLs to library filters. If you have menus or links using such URLs, they will probably stop working after the update. You will need to update them manually."
Character support revert warning,"After selecting this option, you will not be able to revert back to using legacy property naming. If you are not facing issues with your template property names, we recommend leaving this unchecked."
Chart,Chart
Chart options,Chart options
Chart theme,Chart theme
Chart type,Chart type
Chart type uses a custom view,Chart type uses a custom view
Check to make this instance public (non-logged in users can see public documents and entities),Check to make this instance public (non-logged in users can see public documents and entities)
Checking which images fit the requirements,Checking which images fit the requirements...
Choose,Choose
Choose relation type,Choose relation type
Choose which data to use for training,Choose which data to use for training
Chrome header,Chrome header
Clear,Clear
Clear all,Clear all
Clear All,Clear All
Clear all filters,Clear all filters
Clear coordinates,مسح الإحداثيات
Clear Filters,مسح عوامل التصفية
Clear PDF selection,Clear PDF selection
Clear search,Clear search
Click,Click
Click here,انقر هنا
Click to fill,انقر للتعبئة
Close,غلق
Code,Code
Collaborator,متعاون/ مساهم
Collaborators,Collaborators
Collapse all,Collapse all
Collapse All,Collapse All
Collection,المجموعة
Collection Name,Collection Name
Colors,Colors
Colors come from the server data layer. Preview shows assigned bucket colors when available.,Colors come from the server data layer. Preview shows assigned bucket colors when available.
Common sources,Common sources
Completed,Completed
Completed with errors,Completed with errors
Config,Config
Configuration,Configuration
Configure filters,ضبط قوائم تصفيه البيانات
Configure templates,Configure templates
Confirm,تأكيد
CONFIRM,تأكيد
Confirm action,Confirm action
Confirm delete connection,Confirm delete connection
Confirm delete multiple items,هل ترغب في حذف كل العناصر المختارة؟
Confirm deletion,تأكيد الحذف
Confirm deletion of,Confirm deletion of
Confirm deletion of entity,Confirm deletion of entity
Confirm deletion of file,Confirm deletion of file
Confirm new password,تأكيد كلمة المرور الجديدة
Confirm your password,Confirm your password
Connect to a paragraph,الاتصال بفقرة
Connect to an entity,Connect to an entity
Connect to entity,Connect to entity
Connected to server,Connected to server
Connection type,نوع الاتصال
Contact email description,Here you can set up the contact email and the email that appears when Uwazi sends a notification to a user
Contact Form,استمارة اتصال
Contact form email,Contact form email
Content translations,Content translations
Context,Context
Continue,Continue
Conversion failed,فشل التحويل
Copied,Copied
Copied to clipboard,Copied to clipboard
Copy,Copy
Copy From,النسخ من
Copy Highlighted,نسخ المظلل
Copy link,نسخ الرابط
Copy properties to this entity from,انسخ الخصائص إلى هذا الكيان (الإدخال) من
Copy to clipboard,Copy to clipboard
Could not add media. Please try again.,Could not add media. Please try again.
Could not be processed,لا يمكن معالجتها
Could not create entity,Could not create entity
Could not detect the area for the selected text,"Could not detect the area for the selected text, please try selecting again."
Could not reach server. Please try again later.,Could not reach server. Please try again later.
Count,Count
Create,أنشئ
CREATE,أنشئ
Create and edit thesauri,Create and edit thesauri
Create Connection,Create Connection
Create dictionaries,إنشاء قواميس
Create entity,إنشاء كيان
Create Entity,إنشاء كيان
Create Extractor,Create Extractor
Create group,إنشاء مجموعة
Create new entities and upload documents,Create new entities and upload documents
Create new entity from selection,Create new entity from selection
Create Reference,Create Reference
Create relationship,Create relationship
Create relationship types,Create relationship types
Create relationships and references,Create relationships and references
Create table of contents,Create table of contents
Create visualization,Create visualization
Created,Created
Created entity,Created entity
Created entity coming from a public form,Created entity coming from a public form
Created page,Created page
Created relation type,Created relation type
Created relationship,Created relationship
Created template,Created template
Created thesaurus,Created thesaurus
Created user group,Created user group
Creating entities,Creating entities
Creating relationships,Creating relationships
Creating thesauri,Creating thesauri
CSS,CSS
csv blank state message,"Import CSV or ZIP files to create entities in bulk. Click ""New Import"" to get started."
CSV Import,CSV Import
CSV import cancelled,CSV import cancelled
CSV import completed,CSV import completed
CSV import failed,CSV import failed
CSV or ZIP up to 50MB,CSV or ZIP up to 50MB
Ctrl K,Ctrl K
Current Value/Suggestion,Current Value/Suggestion
"Custom colors are not available for this chart type. Use the chart palette or template
            colors instead.","Custom colors are not available for this chart type. Use the chart palette or template
            colors instead."
Custom component error,خطأ في المكون المخصص
Custom CSS,CSS تنسيق
Custom Favicon,Custom Favicon
Custom JS,Custom JS
Custom landing page,Custom landing page
custom page error warning,"There is an unexpected error on this custom page, it may not work properly. Please contact an admin for details."
Custom Uploads,تحميل مخصص
Customize,Customize
Customized,Customized
Dark,Dark
Dark Theme,Dark Theme
Dashboard,Dashboard
Data may be outdated.,Data may be outdated.
Data source,Data source
Data sources,Data sources
Data visualizations,Data visualizations
Data was updated recently. You can refresh again in a few seconds.,Data was updated recently. You can refresh again in a few seconds.
Date,Date
Date added,تم إضافة التاريخ
Date format,صيغة التاريخ
Date modified,تاريخ التعديل
"Date or numeric × numeric enables scatter and heatmap. Line, area, and bar plot the
                measure over the primary dimension (e.g. max engine size per registration date).","Date or numeric × numeric enables scatter and heatmap. Line, area, and bar plot the
                measure over the primary dimension (e.g. max engine size per registration date)."
"Date or numeric × select enables line and area charts with one line per breakdown
                value over time.","Date or numeric × select enables line and area charts with one line per breakdown
                value over time."
Day,يوم
"Deep-merged onto the generated ECharts option. Use for fine-tuning options not exposed in
          the Chart tab.","Deep-merged onto the generated ECharts option. Use for fine-tuning options not exposed in
          the Chart tab."
Default,Default
Default date format,Default date format
Default filter,Default filter
Default language,Default language
Default language change success,نجاح تغيير اللغة الافتراضية
Default template,القالب الافتراضي
Default template set successfully.,Default template set successfully.
Default View,Default View
Delete,حذف
DELETE,حذف
Delete entities and documents,Delete entities and documents
Delete file,مسح الملف
Delete language,حذف اللغة
Delete relationship,Delete relationship
Delete relationships,Delete relationships
Delete?,Delete?
Deleted attachment,Deleted attachment
Deleted custom file,Deleted custom file
Deleted entity,Deleted entity
Deleted file,Deleted file
Deleted multiple entities,Deleted multiple entities
Deleted page,Deleted page
Deleted relation type,Deleted relation type
Deleted relationship,Deleted relationship
Deleted successfully.,Deleted successfully.
Deleted template,Deleted template
Deleted thesaurus,Deleted thesaurus
Deleted user,Deleted user
Deleted user group,Deleted user group
Deletion success,Deletion success
Description,وصف
Deselect all,Deselect all
Direction,Direction
Disable,Disable
Disable highlights,Disable highlights
Disabled 2FA,Disabled 2FA
Discard and leave,Discard and leave
Discard and switch,Discard and switch
Discard changes,تجاهل التغييرات
Discard changes?,Discard changes?
Dismiss,Dismiss
Display entity view from page,عرض معاينة الكيان (الإدخال) من الصفحة
Do you want disable 2FA for the following users?,Do you want disable 2FA for the following users?
Do you want reset the password for the following users?,Do you want reset the password for the following users?
Do you want to delete the following items?,Do you want to delete the following items?
Document,مستند
Document and entity types,انواع الوثائق والكيانات
Document contents,محتويات المستند
Document OCR trigger,Document OCR trigger
Document Title,عنوان المستند
Documentation,توثيق
documents,وثائق
Documents,وثائق
documents.,مستندات
Done,Done
Done creating entities,Done creating entities
Done creating relationships,Done creating relationships
Done creating thesauri,Done creating thesauri
Done extracting files,Done extracting files
Done scanning,Done scanning
Download,تحميل
Download a third-party authenticator app from your mobile store.,Download a third-party authenticator app from your mobile store.
Download failed rows,Download failed rows
Draft restored from release.,Draft restored from release.
Drag and drop file in this window to upload,اسحب الملف وأفلته في هذه النافذة للتحميل
Drag row,Drag row
Drop your files here to upload or,اسحب ملفاتك هنا للتحميل أو
Duplicate values not allowed.,Duplicate values not allowed.
Duplicated email,بريد إلكتروني مكرر
Duplicated name,اسم مكرر
Duplicated username,اسم المستخدم مكرر
Duration,المدة
Each series uses the template brand color when comparing data sources.,Each series uses the template brand color when comparing data sources.
Earlier,Earlier
Edit,تحرير
Edit at source,Edit at source
Edit Extractor,Edit Extractor
Edit File,Edit File
Edit group,Edit group
Edit item,Edit item
Edit metadata of entities,Edit metadata of entities
Edit theme,Edit theme
Edit user,Edit user
Editor,محرر
editor,محرر
Editors,Editors
Email,بريد إلكتروني
Email address,عنوان البريد الإلكتروني
Email updated,تم تحديث البريد الإلكتروني
Embed,Embed
Embed in pages,Embed in pages
Empty,فارغة
Empty group. Drop here to add,Empty group. Drop here to add
empty property tip,You won't be able to save an entity if this property is empty.
Enable,Enable
Enable public embedding to use this chart in external sites on private instances.,Enable public embedding to use this chart in external sites on private instances.
Enable this page to be used as an entity view page:,مكن هذه الصفحة لاستخدامها صفحة معاينة الكيان/ الإدخال
Enter the 6-digit verification code generated by your Authenticator app,Enter the 6-digit verification code generated by your Authenticator app
"Enter the full username, email, or group name. Suggestions are not shown.","Enter the full username, email, or group name. Suggestions are not shown."
Enter your current password to confirm,Enter your current password to confirm
Entities,الكيانات
entities,الكيانات
Entities across all languages,Entities across all languages
Entities created,Entities created
Entities updated,Entities updated
entities · generated,entities · generated
Entity,كيان
Entity creation stage completed.,Entity creation stage completed.
Entity deleted,Entity deleted
Entity Page,Entity Page
Entity saved,Entity saved
Entity type,Entity type
Entity types,أنواع الكيانات
Entity updated,Entity updated
Error,خطأ
Error adding thesauri.,Error adding thesauri.
Error deleting template(s),Error deleting template(s)
Error loading your image,Error loading your image
Error saving template.,Error saving template.
Error setting default template,Error setting default template
Error updating thesauri.,Error updating thesauri.
exact phrase,exact phrase
Expand all,Expand all
Expand All,Expand All
Export CSV,تصدير ملف القيم المفصولة بفواصل
Exporting entities to CSV,تصدير كيانات (إدخالات) إلى ملف القيم المفصولة بفواصل
Extension Token,Extension Token
External embed,External embed
Extract new paragraphs,Extract new paragraphs
Extract paragraphs,Extract paragraphs
Extracting files,Extracting files
Extracting files from uploaded package.,Extracting files from uploaded package.
Extraction configuration,Extraction configuration
Extractor Name,Extractor Name
Extractor name,Extractor name
Extractor/s deleted,Extractor/s deleted
Extractors,Extractors
Failed,Failed
Failed to save table of contents,Failed to save table of contents
Failure details,Failure details
Favicon description,"A favicon is a small icon that represents your collection in browser tabs and bookmarks. The default favicon is the Uwazi logo. To use your own:

1. Upload your icon in Custom Uploads if needed.
2. Click ""Select favicon image"" and pick a file (images from Custom Uploads only).
3. Reload the page to see your favicon in action."
Favicon no images hint,Favicon no images hint
FEATURED,FEATURED
File,ملف
File deleted,File deleted
File details,File details
File extraction completed successfully.,File extraction completed successfully.
File name,File name
File preview unavailable,File preview unavailable
File updated,File updated
Files,Files
Files and database usage,Files and database usage
Fill,تعبئة
Filter,Filter
Filter unauthorized relationships,"By default, relationships pointing to restricted entities are visible to anonymous users but not linked. When enabled, these relationships are completely hidden, preventing public users from knowing restricted content exists."
Filters,قوائم تصفيه البيانات
Filters AND operator,و
Filters configuration,ضبط قوائم تصفية البيانات
Filters configuration description,"By default, users can filter the entities in the library based on the types you have defined. However, you can configure how these entity types will be displayed:"
Filters configuration example,مثال على تكوين عامل التصفية
Filters OR operator,او
Filters saved,Filters saved
Find,بحث
Find suggestions,العثور على اقتراحات
Find suggestions after training,Find suggestions after training
Find suggestions for,Find suggestions for
Find suggestions for selected,Find suggestions for selected
Finding suggestions,Finding suggestions
Fit,متوافق
Flag,علم
for,for
For all entities,For all entities
For entities with blank values,For entities with blank values
Forgot Password or Username?,Forgot Password or Username?
Forgot Password?,هل نسيت كلمة المرور؟
Forms and email configuration,تكوين النماذج والبريد الإلكتروني
From,From
From all suggestions,From all suggestions
From computer,From computer
From files,From files
From previous step,From previous step
From selection,From selection
From:,From:
Full mode,Full mode
Full width,Full width
General,عام
General access,General access
General Information,General Information
Generated ID,Generated ID
Global CSS,خاصية CSS العالمية
Global CSS & JS,Global CSS & JS
Global JS,Global JS
Google,Google
Google Analytics,Google Analytics
Google Analytics ID,معرف Google Analytics
Google Maps,خرائط جوجل
Group,Group
Group by:,Group by:
group expressions,group expressions
Group Options,Group Options
Group saved,Group saved
Group updated,Group updated
Grouped geolocation properties,Grouped geolocation properties
Groups,مجموعات
Header and button preview,Header and button preview
Header bar active background,Header bar active background
Header bar background,Header bar background
Header bar divider,Header bar divider
Header bar hover background,Header bar hover background
Header bar text,Header bar text
help,مساعدة
here,here
"Hi, I'm Bert.","Hi, I'm Bert."
Hide,Hide
Hide actions,Hide actions
Hide details,Hide details
Hide label,إخفاء التسمية
Hide restricted relationships from public,Hide restricted relationships from public
Hide toolbar,Hide toolbar
HTML,HTML
https://yourdomain,https://yourdomain
hub,hub
hubs,محاور
Hybrid,هجين
Icon,أيقونة
ID,ID
ID:,ID:
"If an account exists with the email you provided, you will receive an email
                        with instructions to reset your password.","If an account exists with the email you provided, you will receive an email
                        with instructions to reset your password."
"If it is an external URL, use a fully formed URL. Ie. http://www.uwazi.io.","If it is an external URL, use a fully formed URL. Ie. http://www.uwazi.io."
"If you want to continue, please type",إذا كنت ترغب في المتابعة، يرجى كتابة
Image doesn't match the required size.,Image doesn't match the required size.
Import,استيراد
Import asset,Import asset
Import CSV,استيراد ملف القيم المفصولة بفواصل
Import failed. Review details below.,Import failed. Review details below.
Import finished successfully.,Import finished successfully.
Import finished with errors. Review details below.,Import finished with errors. Review details below.
Import is currently processing rows.,Import is currently processing rows.
Import is retrying after an error.,Import is retrying after an error.
Import theme instance file,Import theme instance file
Import was cancelled.,Import was cancelled.
Imported translations from file,Imported translations from file
in,في
"In a group, either all relationships must have a hub or none of them.","In a group, either all relationships must have a hub or none of them."
In OCR queue,جاري التعرف الضوئي علي الحروف
in this document,in this document
Incoming,Incoming
Info,معلومات
Information extraction training,Information extraction training
Inherit,Inherit
Inherit property,وراثة خاصية
Inherit type,Inherit type
"Inherited values are read-only. Change the connection above, or edit the source entity.","Inherited values are read-only. Change the connection above, or edit the source entity."
inherits,inherits
Input,Input
Install,Install
Install Language(s),Install Language(s)
Install the browser extension.,Install the browser extension.
Installing languages,Installing languages
"Instructions on how to achieve this will vary according to the app used, please refer to the app's documentation.","Instructions on how to achieve this will vary according to the app used, please refer to the app's documentation."
Instructions to reset password,"If the email address supplied is correct, we will send instructions to reset the password."
Instructions to reset the password were sent to the user,Instructions to reset the password were sent to the user
Invalid captcha,حروف التحقق غير صحيحة
Invalid csv: all the values for a row must be either nested or non-nested,Invalid csv: all the values for a row must be either nested or non-nested
Invalid csv: nested value need to be under a non-nested value,Invalid csv: nested value need to be under a non-nested value
Invalid form,المدخلات غير صحيحة او غير مكتمله. رجاء التصحيح واعادج المحاولة
Invalid URL,Invalid URL
It could also very easily break the app. Only write code here if you know exactly what you are doing.,من الممكن أيضاً كسر التطبيق بسهولة بالغة. اكتب فقط الرمز هنا إذا كنت على دراية تامة بما تفعله
it has been logged with request id #,it has been logged with request id #
Item,Item
Items:,العناصر:
Javascript,Javascript
key,Arabic
Label,التسمية
"Label date ""From""",من:
"Label date ""to""",إلى:
Labeled,Labeled
Landing page,الصفحة الرئيسية
Landing page description,"The landing page is the first page that visitors see when they come to your collection. The default landing page is your collection's library. You can set a different landing page by adding its relative URL here. For example:
      
A page: */page/dicxg0oagy3xgr7ixef80k9*
A filtered view in Uwazi: */library/?searchTerm=test*
An entity: */entity/9htbkgpkyy7j5rk9*
A document: */document/4y9i99fadjp833di*
      
Important: You must use relative URLs. These start with a forward slash and do not include the domain name. For example: In the address *https://yoursite.com/landingpage*, the relative URL is /landingpage"
Language,لغة
Language Code,Language Code
Language deleted,حذفت اللغة
Language reset success,Language reset success
Language uninstalled successfully,Language uninstalled successfully
Language(s),Language(s)
Language:,Language:
Languages,اللغات
Languages installed successfully,Languages installed successfully
Last updated,Last updated
Last updated from collection:,Last updated from collection:
Latitude,خط العرض
Latitude must be between -90 and 90,Latitude must be between -90 and 90
Learn more,اعرف المزيد
Legend,مفتاح مصطلحات الخريطة
Lengthy reindex process,Lengthy reindex process
Library,مكتبة
library list view,معاينة القائمة المكتبية
library map view,معاينة خريطة المكتبة
library table view,معاينة جدول المكتبة
Light,Light
Light Theme,Light Theme
Link,Link
linked,مرتبط
List renders as a table. Use the options below to filter empty or zero values.,List renders as a table. Use the options below to filter empty or zero values.
Live preview,Live preview
Live translate,Live translate
Load example,Load example
Loading,Loading
Local time,Local time
Login,تسجيل الدخول
Login button,زر تسجيل الدخول
Login failed,فشل عملية الدخول
Logout,تسجيل خروج
Longitude,خط الطول
Longitude must be between -180 and 180,Longitude must be between -180 and 180
Lookup help,Lookup help
Lost connection to the server. Your changes may be lost,Lost connection to the server. Your changes may be lost
low,منخفض/ أدنى/ قليل/ صغير
Manage site settings and configuration,إدارة إعدادات الموقع
Manual data,Manual data
Manually set a color,Manually set a color
Map,خريطة
Map api key,Map api key
Map API key,Map API key
Map api key tooltip,An API key is required to use Mapbox or Google Maps.
Map Layers,Map Layers
Map layers description,Map layers description
Map Provider,Map Provider
Map view,عرض الخريطة
Mapbox,Mapbox
Mapping conflict error,"A reindex of your collection is necessary. The reason may vary 
        -- from certain changes made to a template's property to new fields
        that need to be populated across entities. 
        This process will not negatively affect the data in your collection. 
        It can last a few minutes and some parts of your collection might take
        some time to reappear in the Library, but this is temporary. Do you want to continue?"
Maps,خرائط
Mark as Reviewed,ضع علامة للإشارة إلى خضوعه للمراجعة
Mark as reviewed,Mark as reviewed
Markdown,ماركداون
"Markdown support in custom pages will be discontinued starting in 2027. Upgrade this page
          when its content no longer relies on Markdown syntax.","Markdown support in custom pages will be discontinued starting in 2027. Upgrade this page
          when its content no longer relies on Markdown syntax."
marked and labeled,marked and labeled
marked for training,marked for training
Marked for training + all labeled entries,Marked for training + all labeled entries
Marked for training only,Marked for training only
Match,Match
match verbatim,match verbatim
Matching,Matching
matching,matching
Matomo,Matomo
Members,أعضاء
Menu,قائمة التحكم
Message,رسالة
Message sent,Message sent
Metadata,البيانات الوصفية
Metadata Extraction,استخلاص البيانات الوصفية
"Metric shows a single total count. Select Pie, Bar, or another chart type above to
            configure categories, labels, and slices. Use the Appearance tab for colors.","Metric shows a single total count. Select Pie, Bar, or another chart type above to
            configure categories, labels, and slices. Use the Appearance tab for colors."
MIGRATE,MIGRATE
Minimum,الحد الأدنى
Mismatch,Mismatch
mismatched passwords,Passwords don't match
mismatching,mismatching
Mixed access,وصول مختلط
ML TOC,ML TOC
Modified,Modified
Month,شهر
Months,Months
More,More
more options.,مزيد من الخيارات
Multi-source mode,Multi-source mode
Multiple date,Multiple date
Multiple date range,Multiple date range
Multiple inherited properties warning ([property 1] affects [property 2]),يؤثر
Multiple matches found,Multiple matches found
Multiple relationships edit description,Making changes to this property will affect other properties on this template because they all share relationships with the same configuration.
Multiple select,Multiple select
Name,اسم
Name is required,الاسم مطلوب
Name is too long,الاسم طويل جداً
Name is too short,الاسم قصير جداً
Narrow down your searches,ضيق نطاقات بحثك
"Narrow entities before aggregation. With multiple sources, pick the property under the
        source alias so each filter applies only to that series.","Narrow entities before aggregation. With multiple sources, pick the property under the
        source alias so each filter applies only to that series."
Narrow your search,ضيق نطاق بحثك
Navigate back,Navigate back
Navigation menu tool tip part 1,"If it is an internal URL within this website, be sure to delete the first part"
Navigation menu tool tip part 2,leaving only a relative URL starting with a slash character. Ie. /some_url.
New,New
New activity will show up here.,New activity will show up here.
New conversation,New conversation
New entity,كيان جديد
New group,New group
New language added,أضيفت لغة جديدة
New page,New page
New password,كلمة المرور الجديدة
New relationship type,New relationship type
New relationships group,مجموعة علاقات جديدة
New Relationships Migration,New Relationships Migration
New user,New user
Next,التالي
No,لا
No attachments,لا توجد مرفقات
No chart types match your search.,No chart types match your search.
No common filters,لا مشترك بين قوائم التصفيه
No connected entities yet.,No connected entities yet.
No Connections,لا اتصالات
No Connections description,الاتصالات هل العلاقات المباشرة بين تلك الوثيقة و الوثائق والكيانات الاخرد
No context,No context
No CSVs yet,No CSVs yet
No data,No data
NO DATA AVAILABLE,NO DATA AVAILABLE
NO EXTRACTORS,NO EXTRACTORS
No files available,No files available
no filters for templates,The combination of entity types doesn't have any filters in common.
No Group,No Group
No icon / flag,لا توجد أيقونة/ علامة
No items available,No items available
No Label,لا تسمية
No label,No label
No matching entities.,No matching entities.
No media selected,No media selected
No options,No options
No options found,لم يتم العثور على خيارات
No page,No page
No people or groups added yet,No people or groups added yet
No property,هذه الخاصية غير متوفرة
No References,لا مرجع
No References description,المراجع هي اجزاء من الوثيقة التي لها علاقة بوثائق وكيانات أخرى
No Relationships,لا توجد علاقات
No Relationships description,العلاقات هي الروابط بين الكيانات
No relationships found,No relationships found
No relationships to graph,No relationships to graph
No releases yet,No releases yet
No results found,No results found
No table of contents,لا يوجد جدول المحتويات
No Table of contents,No Table of contents
No table of contents description,لا جدول محتويات الوصف
No templates available to add.,No templates available to add.
No text match,لا يوجد نص تطابق
No text match description,يمكنك كتابه نص مختلف للحصول على بعض النتائج
No timelinks added,No timelinks added
No translation in,No translation in
No type,لا نوع
No uploaded images fit the requirements,No uploaded images match these size requirements. Upload a new image or use an editor to resize an existing file.
No user or group found,No user or group found
No valid target template available,No valid target template available
No value,لا قيمة
No Value,لا قيمة
No visualization data available.,No visualization data available.
"No, cancel","No, cancel"
Non processed,Non processed
Non-labeled,Non-labeled
Non-latin characters support,Non-latin characters support
None,None
Normal view,معاينة عادية
Not already been use as source template in another extractor,Not already been use as source template in another extractor
Not already been use as target template,Not already been use as target template
Not Found,Not Found
Nothing here yet.,Nothing here yet.
Nothing selected,Nothing selected
Notifications,Notifications
Obsolete,Obsolete
obsolete,obsolete
OCR,OCR
OCR button tip,This will process the document to recognize it's text. The original file will be added as a supporting file.
OCR completed,تم التعرف الضوئي على الحروف
OCR description tip 1,"This will enable the Optical Character Recognition (OCR) functionality for PDF documents. This service will recognize text inside images, such as scanned documents and photos, and convert it into machine-readable text data."
OCR description tip 2,"When activated, this will enable administrator and editor users to send PDF documents to the OCR service."
OCR error,خطأ في الOCR
OCR error tip,The OCR engine couldn't read the document due to a malformed format. Last updated
OCR PDF,تشغيل خاصية الOCR على الPDF
of,من
